time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
948,32.28,2440,108863,0.07,-1.5986669969185408,49424,0.15732422098517418
953,33.61,2450,109346,0.07,-1.6505289766294382,49672,0.1330454247072339
956,33.41,2460,109670,0.07,-1.658848283515089,49832,0.14248484186828136
960,33.31,2470,110011,0.07,-1.6329200551581238,50000,0.12202538643032312
962,32.86,2480,110267,0.07,-1.5856413873871884,50128,0.15477940533310175
964,31.92,2490,110466,0.07,-1.5265499537322853,50232,0.13500122167170048
967,32.54,2500,110803,0.07,-1.5435648546539098,50400,0.13326549157500267
971,33.54,2510,111200,0.07,-1.6212714737458098,50592,0.1338204788044095
976,33.83,2520,111616,0.07,-1.6414287803889804,50800,0.12888760026544333
980,34.1,2530,112048,0.07,-1.674836574641646,51016,0.13679693546146154
983,33.68,2540,112331,0.07,-1.6516656005166803,51160,0.14854739047586918
986,31.91,2550,112637,0.07,-1.538667716070566,51312,0.144347520545125
989,32.16,2560,112986,0.07,-1.5366701081215957,51488,0.11541761178523302
994,32.98,2570,113409,0.07,-1.5455665670049823,51704,0.13815370481461287
997,34.18,2580,113785,0.07,-1.5836317872971193,51888,0.1283369641751051
1003,37.77,2590,114343,0.07,-1.8041744739007766,52168,0.13438762538135052
1007,38.67,2600,114770,0.07,-1.8354439810366776,52384,0.12586689554154873
1012,39.68,2610,115268,0.07,-1.8827853392033385,52632,0.13120834436267614
1016,39.93,2620,115709,0.07,-1.8974954107634696,52848,0.11570633295923471
1020,38.91,2630,116039,0.07,-1.8152725883929337,53016,0.12312173936516047
1023,39.26,2640,116357,0.07,-1.8197059600519898,53176,0.1378318895585835
1028,40.96,2650,116833,0.07,-1.9392345753574491,53416,0.12537908926606178
1032,41.43,2660,117229,0.07,-1.9629561492073384,53608,0.14308619871735573
1035,40.78,2670,117587,0.07,-1.967183320279305,53792,0.10952144674956799
1039,41.3,2680,118015,0.07,-2.0737083548846034,54000,0.12757039349526167
1044,40.77,2690,118520,0.07,-2.0128469827964253,54256,0.11392856016755104
