rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
81.74,-8.173999999999996,990,746,99909,0.07,0.12349068420007825,44952
86.87,-8.686999999999998,1000,756,101119,0.07,0.19892153987893835,45552
84.46,-8.446,1010,761,101691,0.07,0.10637459115241654,45840
87.09,-8.708999999999998,1020,770,102843,0.07,0.12149890838190913,46416
83.93,-8.392999999999999,1030,776,103488,0.07,0.1328291674144566,46736
87.48,-8.748000000000001,1040,787,104740,0.07,0.1492123911739327,47368
85.12,-8.512,1050,792,105306,0.07,0.15878508181776851,47648
85.67,-8.567000000000002,1060,798,106083,0.07,0.19150476407958195,48040
93.43,-9.343000000000004,1070,810,107541,0.07,0.10638363054022193,48768
101.23,-10.123000000000008,1080,821,108877,0.07,0.18133347353432328,49432
98.68,-9.868000000000007,1090,829,109877,0.07,0.1456804892513901,49936
95.23,-9.523000000000007,1100,837,110742,0.07,0.1835159884649329,50368
102.98,-10.298000000000009,1110,848,112089,0.07,0.14796613826183602,51040
101.69,-10.16900000000001,1120,857,113112,0.07,0.1326132636750117,51552
108.59,-10.859000000000007,1130,868,114447,0.07,0.11858452088199556,52216
105.27,-10.527000000000005,1140,876,115367,0.07,0.12814177543623373,52680
105.56,-10.556000000000008,1150,881,115962,0.07,0.14872201217804104,52976
106.93,-10.693000000000008,1160,888,116876,0.07,0.14626949257217348,53432
104.51,-10.451000000000006,1170,899,118092,0.07,0.1695672010537237,54040
104.53,-10.453000000000005,1180,910,119430,0.07,0.12116696406155825,54712
102.8,-10.280000000000006,1190,917,120257,0.07,0.08196705998852849,55128
106.85,-10.68500000000001,1200,928,121527,0.07,0.08591917064040899,55760
103.32,-10.332000000000011,1210,936,122521,0.07,0.18654312915168703,56256
102.04,-10.20400000000001,1220,944,123416,0.07,0.12385758035816252,56704
98.65,-9.865000000000009,1230,952,124412,0.07,0.1205407181987539,57200
101.95,-10.195000000000013,1240,963,125662,0.07,0.13528051087632775,57824
107.76,-10.77600000000001,1250,972,126838,0.07,0.19449590641306713,58416
109.18,-10.918000000000008,1260,981,127894,0.07,0.11022650997620076,58944
104.59,-10.459000000000009,1270,988,128651,0.07,0.09609488392015919,59320
100.38,-10.03800000000001,1280,995,129568,0.07,0.21787920844508335,59776
98.37,-9.837000000000007,1290,1000,130194,0.07,0.11315335263498127,60096
96.68,-9.668000000000003,1300,1010,131295,0.07,0.15197717456612736,60640
97.65,-9.765000000000004,1310,1019,132386,0.07,0.13735378242563456,61192
97.59,-9.759000000000004,1320,1026,133275,0.07,0.170475282240659,61632
93.08,-9.308,1330,1030,133820,0.07,0.17675831553060561,61904
87.17,-8.717,1340,1036,134479,0.07,0.10145648155594245,62232
88.01,-8.801000000000004,1350,1046,135739,0.07,0.1663218289904762,62864
87.7,-8.770000000000003,1360,1054,136764,0.07,0.10935322093428113,63376
91.73,-9.173000000000007,1370,1064,137924,0.07,0.1711428235284984,63960
96.3,-9.630000000000008,1380,1076,139298,0.07,0.1823948947712779,64648
97.68,-9.768000000000008,1390,1082,140062,0.07,0.22764964029192924,65024
93.37,-9.337000000000007,1400,1088,140732,0.07,0.12192090216558427,65360
92.43,-9.243000000000006,1410,1096,141729,0.07,0.16789199621416628,65864
88.92,-8.892000000000005,1420,1100,142267,0.07,0.1412619209731929,66128
97.1,-9.710000000000006,1430,1110,143630,0.07,0.09908553311834112,66808
104.74,-10.474000000000007,1440,1122,145053,0.07,0.15121940596145578,67520
101.21,-10.121000000000004,1450,1130,145960,0.07,0.12300285045057535,67976
98.16,-9.816,1460,1136,146680,0.07,0.1541525928187184,68336
94.02,-9.402,1470,1142,147426,0.07,0.1519295673351735,68712
91.65,-9.165,1480,1151,148563,0.07,0.20401274238247424,69280
93.35,-9.335000000000003,1490,1159,149497,0.07,0.10711847321363166,69744
94.79,-9.479000000000003,1500,1166,150311,0.07,0.12458451167913154,70152
95.95,-9.595,1510,1175,151424,0.07,0.14737881626933813,70704
99.6,-9.96,1520,1182,152327,0.07,0.10219803120708093,71160
94.74,-9.473999999999997,1530,1190,153204,0.07,0.13557932002004236,71600
90.39,-9.038999999999998,1540,1198,154192,0.07,0.08820471470244229,72088
87.81,-8.780999999999999,1550,1203,154841,0.07,0.14801353693474084,72416
87.35,-8.735,1560,1209,155515,0.07,0.07025063619948924,72752
92.79,-9.279000000000002,1570,1220,156805,0.07,0.1892323654028587,73400
87.62,-8.761999999999995,1580,1225,157425,0.07,0.1402920363470912,73712
83.29,-8.328999999999997,1590,1229,157926,0.07,0.13162086997181177,73960
84.38,-8.437999999999997,1600,1237,158849,0.07,0.19448548811487854,74424
83.42,-8.342,1610,1245,159866,0.07,0.19771620794199407,74928
83.91,-8.391000000000002,1620,1253,160818,0.07,0.1568777619395405,75408
83.35,-8.335,1630,1260,161639,0.07,0.19105624686926603,75816
83.99,-8.399,1640,1269,162691,0.07,0.12161630165064707,76344
89.06,-8.906000000000004,1650,1278,163847,0.07,0.18160070676822215,76920
95.22,-9.522000000000007,1660,1288,165137,0.07,0.1054051835089922,77568
88.29,-8.829000000000006,1670,1293,165734,0.07,0.09014849597588181,77864
91.51,-9.151000000000005,1680,1301,166676,0.07,0.13992327614687383,78336
95.78,-9.578000000000003,1690,1308,167604,0.07,0.1947503697592765,78800
94.16,-9.416000000000004,1700,1315,168365,0.07,0.11314557865262032,79176
97.36,-9.736000000000004,1710,1325,169702,0.07,0.27574909944087267,79848
96.84,-9.684000000000005,1720,1333,170602,0.07,0.2013322208658792,80296
98.16,-9.816000000000004,1730,1340,171555,0.07,0.08424021420069039,80776
97.89,-9.789000000000005,1740,1348,172580,0.07,0.19497644458897412,81288
