time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates
1660,187.66,1296,172947,0.07,-7.431014929245695,0.08538880432024598,81472
1670,188.31,1308,174512,0.07,-7.334042260496556,0.044491728534922004,82248
1680,180.22,1318,175827,0.07,-6.920622366570538,0.029778416035696864,82912
1690,178.58,1331,177463,0.07,-6.767684236480914,0.09364336414728314,83728
1700,162.84,1338,178350,0.07,-6.23216620084101,0.06448289437685162,84168
1710,155.09,1345,179280,0.07,-6.025386622566094,0.07117531879339367,84632
1720,144.76,1354,180404,0.07,-5.781487249437727,0.09076914639445022,85200
1730,132.97,1363,181620,0.07,-5.4364539355153445,0.07383589661912993,85808
1740,128.49,1373,182868,0.07,-5.502990295528817,0.07167184352874756,86432
1750,126.99,1385,184441,0.07,-5.668100604652903,0.03955670213326812,87216
1760,123.09,1392,185356,0.07,-5.6152105122304725,0.05948576843366027,87672
1770,127.97,1407,187409,0.07,-6.002436491591847,0.06641958572436124,88704
1780,129.3,1418,188857,0.07,-6.183581574255307,0.06794918212108314,89424
1790,126.92,1429,190255,0.07,-6.07630253280559,0.08232317049987614,90120
1800,126.02,1436,191052,0.07,-6.035779538354702,0.06199850793927908,90520
1810,134.17,1449,192797,0.07,-6.461476011849965,0.05293086695019156,91392
1820,140.25,1462,194529,0.07,-6.8124712614199465,0.07730575301684439,92264
1830,145.52,1476,196272,0.07,-7.003738536572083,0.055675198731478304,93128
1840,147.63,1488,197731,0.07,-7.160982673396977,0.07652897923253477,93864
1850,142.97,1497,198838,0.07,-6.8749061892561,0.07611459156032652,94416
1860,143.59,1504,199815,0.07,-6.94604250919396,0.06128728936892003,94904
