rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,890,561,116341,86.75,2.3633669678028095,53168,0.10610583599191159
0.07,900,568,117541,87.46,2.4133726576626464,53768,0.0969090303988196
0.07,910,574,118657,90.29,2.509875831884702,54328,0.07436434604460374
0.07,920,579,119623,87.96,2.43516781176254,54808,0.050302314513828605
0.07,930,582,120215,85.08,2.3797312881165618,55104,0.027588778495555744
0.07,940,588,121403,90.89,2.5381928870923995,55696,0.06216096592834219
0.07,950,593,122236,93.06,2.6188261674242015,56112,0.10630509199108928
0.07,960,597,123087,93.33,2.6377281621471877,56536,0.09514114330522716
0.07,970,603,124212,96.02,2.757066576556967,57104,0.09669391624629498
0.07,980,609,125287,97.72,2.7918355509906854,57640,0.09467530337860808
0.07,990,614,126120,96.79,2.7777403567386063,58056,0.038681659498251975
0.07,1000,621,127532,98.91,2.8211446940703166,58760,0.04909317634883337
0.07,1010,626,128346,95.89,2.7505808680660535,59168,0.07139129834831692
0.07,1020,631,129448,97.25,2.7834971282932846,59720,0.041641582967713475
0.07,1030,637,130510,101.95,2.894623562757374,60248,0.1376915275468491
0.07,1040,643,131585,100.82,2.881699436502263,60792,0.09075858676806092
0.07,1050,650,132916,105.8,3.013112732461033,61456,0.1005051065585576
0.07,1060,655,133947,107.6,3.04583624971165,61968,0.04889406310394406
0.07,1070,660,134943,106.31,2.9198776456725386,62464,0.10389235129696317
0.07,1080,663,135494,101.07,2.7820353601425953,62744,0.09287374233826995
0.07,1090,667,136339,101.19,2.753217964255471,63168,0.08003071241546422
0.07,1100,670,136945,93.13,2.550362853520907,63472,0.08297512916033156
0.07,1110,673,137468,90.22,2.4752670184859094,63728,0.06453978351783007
0.07,1120,676,138051,85.03,2.348317301639415,64024,0.11467158343293704
0.07,1130,681,139011,84.01,2.307034071350852,64504,0.10351442784303799
0.07,1140,686,139985,83.0,2.25612566682223,64992,0.06187767058145255
0.07,1150,690,140612,75.96,2.0584716657344724,65304,0.06692010798724368
0.07,1160,694,141434,73.87,2.014769005762371,65712,0.07265681977150962
0.07,1170,697,141992,69.49,1.9138154003526475,65992,0.10037408053176478
