rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.07,910,166483,200.02,-6.7075618785547855,822,78240,0.02249857143033296
0.07,920,169044,208.47,-6.802133155205642,835,79520,0.02874279918614775
0.07,930,171289,215.4,-7.133262459081979,847,80640,0.029713628464378417
0.07,940,172852,213.99,-7.0319712950082485,855,81424,0.04006054293131456
0.07,950,174046,206.61,-6.785457692168645,861,82016,0.04272457695333287
0.07,960,175897,206.81,-6.686419156361237,870,82944,0.03716330014867708
0.07,970,177719,199.91,-6.181282732824774,880,83856,0.024017100571654737
0.07,980,179930,198.23,-5.907622845760523,891,84960,0.018239687895402312
0.07,990,182223,199.76,-5.889070286434784,903,86104,0.012212603847729042
0.07,1000,184455,197.96,-5.7276525647407075,915,87224,0.020623365649953485
0.07,1010,186514,199.31,-5.8473530639425135,925,88256,0.019709946995135397
0.07,1020,187857,187.13,-5.5493187238280575,932,88928,0.010802771255839616
0.07,1030,189943,185.54,-5.339457050627585,943,89968,0.006777116534067318
0.07,1040,191889,189.37,-5.655833664500552,953,90944,0.006285274692345411
0.07,1050,193246,191.0,-5.768148773649082,960,91616,0.05204282753402367
0.07,1060,194466,184.69,-5.59285041795999,966,92232,0.029654859186848626
0.07,1070,195832,180.13,-5.48844581269142,973,92912,0.040977018885314465
0.07,1080,196975,169.45,-5.086225363258569,979,93480,0.029674406338017434
0.07,1090,198665,163.42,-4.870768973941507,988,94328,0.020846731029450893
0.07,1100,199975,154.2,-4.55665568861902,995,94984,0.030577523226384073
