time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss
1199,1560,160622,73.7,-2.765439883652838,0.07,75304,0.12065752880880609
1203,1570,161139,71.65,-2.7397356412140437,0.07,75568,0.07328378834063187
1206,1580,161554,67.0,-2.4869619178152704,0.07,75776,0.10412458374048583
1212,1590,162285,64.95,-2.3744125026860132,0.07,76136,0.10059984063263983
1217,1600,162928,63.28,-2.368537083818261,0.07,76456,0.09232771550887264
1223,1610,163585,60.11,-2.298191949731095,0.07,76792,0.08069824558333494
1229,1620,164374,61.44,-2.287193704282698,0.07,77184,0.1459710355848074
1234,1630,165008,62.78,-2.3057567268052765,0.07,77496,0.0913379398843972
1239,1640,165637,63.14,-2.298655712799542,0.07,77816,0.08822879014769569
1243,1650,166117,59.75,-2.2025951590240105,0.07,78056,0.11182489595375955
1248,1660,166688,59.66,-2.1622162850579874,0.07,78336,0.12127570807933807
1254,1670,167414,61.75,-2.203147867794763,0.07,78704,0.0927804447710514
1259,1680,168004,63.5,-2.3235154336055435,0.07,79000,0.10040323823341168
1263,1690,168589,62.04,-2.3168524315970958,0.07,79288,0.05620984223787673
1267,1700,169087,60.59,-2.304431498415941,0.07,79536,0.09943377878516912
1271,1710,169590,59.05,-2.2679904147275605,0.07,79792,0.09964992327149957
1277,1720,170280,58.06,-2.2582063030488677,0.07,80136,0.08815254308865406
1281,1730,170795,56.87,-2.259855041585921,0.07,80392,0.06323229520057794
1286,1740,171387,56.5,-2.236161720384953,0.07,80688,0.16791725996881723
1291,1750,172024,58.07,-2.289887824014906,0.07,81008,0.10758857359178364
1295,1760,172540,57.52,-2.280964250802562,0.07,81264,0.11593316495418549
1301,1770,173304,57.9,-2.3002182600575116,0.07,81648,0.0721912228182191
1306,1780,173898,57.94,-2.2760817992847424,0.07,81944,0.06938752223504707
1311,1790,174496,58.07,-2.3219975799765136,0.07,82240,0.06730657606385648
1316,1800,175078,58.91,-2.3482401950003,0.07,82536,0.062052803550614044
1321,1810,175701,60.11,-2.3217800449987918,0.07,82848,0.08038297519669868
1326,1820,176352,59.72,-2.2883299947091946,0.07,83168,0.12015057995449752
1330,1830,176811,59.16,-2.2565783087078533,0.07,83400,0.10143165665795095
1334,1840,177352,58.65,-2.2594539473666106,0.07,83672,0.04653945671452675
1341,1850,178173,60.49,-2.325802719019551,0.07,84080,0.10777151060756296
1345,1860,178739,60.99,-2.296528587345752,0.07,84368,0.10600534829427488
1351,1870,179365,59.61,-2.2585719762424348,0.07,84680,0.14277085126377642
1357,1880,180130,61.32,-2.387163987259839,0.07,85064,0.1223806850030087
1360,1890,180484,58.88,-2.2600658296808045,0.07,85240,0.11235582502558827
1365,1900,181094,59.16,-2.2701227440187233,0.07,85544,0.10384928630082868
1369,1910,181587,57.86,-2.2742857565841974,0.07,85792,0.09472836001077667
1374,1920,182334,58.82,-2.277257342844015,0.07,86160,0.06790874485159293
1379,1930,182928,60.17,-2.3099503015757357,0.07,86456,0.0938860431779176
1385,1940,183684,62.32,-2.4043826729039877,0.07,86840,0.11709616711596027
1389,1950,184138,58.65,-2.257794307120791,0.07,87064,0.10611243743915111
1393,1960,184666,58.27,-2.2912306614988927,0.07,87328,0.14455769606865942
1398,1970,185272,58.07,-2.2678710806776756,0.07,87632,0.11069268133724108
1404,1980,186033,58.03,-2.2393492547398814,0.07,88016,0.07727674138732255
1411,1990,186817,62.33,-2.439193920782489,0.07,88408,0.046321075613377616
