rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,2980,925,186359,36.06,-1.1327175339634499,88176,0.017756151966750622
0.07,2990,927,186804,37.36,-1.1799255026633886,88400,0.021853287238627672
0.07,3000,930,187246,37.26,-1.2051453175097704,88616,0.01593562716152519
0.07,3010,932,187624,37.66,-1.2119719794991763,88808,0.01554970652796328
0.07,3020,934,188076,38.61,-1.2371486898875745,89032,0.01791855855844915
0.07,3030,936,188525,39.27,-1.24739127745715,89256,0.018816848867572844
0.07,3040,938,188890,38.94,-1.211833238314292,89440,0.020385305280797184
0.07,3050,940,189298,40.06,-1.264580640718195,89648,0.014756590826436877
0.07,3060,942,189677,40.33,-1.271130895678945,89832,0.016859135357663035
0.07,3070,944,190008,39.25,-1.2514638496028814,90000,0.01868755300529301
0.07,3080,946,190362,39.03,-1.2807715092626204,90176,0.01596819399856031
0.07,3090,948,190842,39.38,-1.2952321165753578,90416,0.017479549744166434
0.07,3100,951,191308,39.62,-1.3067454738512612,90648,0.019034019438549876
0.07,3110,953,191787,40.63,-1.3112918369571782,90888,0.022139291861094534
0.07,3120,955,192156,39.8,-1.3036453692937604,91072,0.014001732459291816
0.07,3130,957,192509,38.84,-1.3048867417142236,91248,0.020474768243730068
0.07,3140,959,192880,38.9,-1.3055897879044998,91432,0.025200431584380567
0.07,3150,961,193259,38.61,-1.2833611153243445,91624,0.020782792940735817
0.07,3160,963,193633,38.56,-1.2762839555533754,91816,0.01882265170570463
0.07,3170,965,193948,38.4,-1.2658258146036687,91968,0.01856588083319366
0.07,3180,966,194295,38.33,-1.221205400106824,92144,0.015296234632842243
0.07,3190,969,194801,38.59,-1.2444783215911448,92400,0.014728881418704987
0.07,3200,971,195292,38.84,-1.2546458691449947,92640,0.012693048920482397
0.07,3210,974,195717,38.3,-1.2655819736125629,92856,0.015144880046136677
0.07,3220,976,196146,38.9,-1.2685851100149832,93072,0.01557476125890389
0.07,3230,979,196645,40.36,-1.3035188775424509,93320,0.01893094857223332
0.07,3240,981,197066,40.86,-1.3102282939683905,93528,0.02180269709788263
0.07,3250,983,197542,41.83,-1.3429653213641246,93768,0.01996276609133929
0.07,3260,985,197985,42.52,-1.3739035594988571,93992,0.017210045247338712
0.07,3270,988,198502,44.54,-1.420760573545821,94248,0.019677275558933616
0.07,3280,990,198871,44.76,-1.4213632842097093,94432,0.019510696409270167
0.07,3290,992,199282,43.81,-1.369066393017923,94640,0.017319883918389678
0.07,3300,994,199703,43.11,-1.304945598875353,94848,0.01854048017412424
