time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
55507,0.07,19.29,261,-0.5863677011325141,1790,22752,0.009041793586220592
55802,0.07,20.54,262,-0.6141436593640246,1800,22896,0.009194180078338832
56052,0.07,21.26,264,-0.6224615356605464,1810,23024,0.008763339836150408
56243,0.07,21.43,265,-0.6360279031219513,1820,23120,0.008374870056286454
56453,0.07,21.76,266,-0.6555344847241257,1830,23224,0.009239882696419954
56662,0.07,21.68,267,-0.6670869954080572,1840,23328,0.008576307562179863
56906,0.07,22.41,269,-0.6733165929024862,1850,23448,0.008064729336183518
57082,0.07,20.41,270,-0.6288604951872285,1860,23536,0.007023630780167878
57398,0.07,21.89,271,-0.6431817547508649,1870,23696,0.007134914631024003
57597,0.07,21.92,272,-0.6370099662339725,1880,23792,0.006857127009425312
57766,0.07,21.59,273,-0.6218037482237704,1890,23880,0.007239484111778438
57956,0.07,20.54,274,-0.6101262659719664,1900,23976,0.006716929376125336
58123,0.07,19.71,275,-0.5914842513676991,1910,24056,0.0060807367553934455
58347,0.07,20.04,277,-0.5883460810811281,1920,24168,0.0063124881708063185
58557,0.07,20.04,278,-0.5742877665111417,1930,24272,0.006599494372494519
58792,0.07,20.3,279,-0.5743711549523864,1940,24392,0.005909505765885115
59042,0.07,20.36,281,-0.5980335580366127,1950,24520,0.005700893118046224
59307,0.07,21.25,282,-0.6273790598642065,1960,24648,0.005605891463346779
59514,0.07,20.16,283,-0.629319679479537,1970,24752,0.004631678020814434
59740,0.07,20.43,285,-0.6280088028642187,1980,24864,0.005174863093998283
59930,0.07,20.64,286,-0.6444914414956356,1990,24960,0.005299465585267171
60081,0.07,20.25,286,-0.6210631152630448,2000,25040,0.0048289193655364215
60256,0.07,20.33,287,-0.6254296460698128,2010,25120,0.004540681780781597
60454,0.07,20.07,289,-0.6178627787241967,2020,25224,0.004082464933162555
60658,0.07,20.01,290,-0.6284178949275625,2030,25328,0.00486687570810318
60862,0.07,19.7,291,-0.6238831080247818,2040,25424,0.004675801028497517
61074,0.07,19.32,292,-0.6096236235365405,2050,25536,0.004246762284310535
61311,0.07,19.04,293,-0.6236748368237349,2060,25648,0.004307716066250578
61491,0.07,18.77,294,-0.6163716630513714,2070,25744,0.003907556034391746
61673,0.07,18.33,295,-0.613475653300044,2080,25832,0.0041577394877094775
61853,0.07,18.23,296,-0.614842928107817,2090,25920,0.0035339169844519347
62039,0.07,18.58,297,-0.6256870716787002,2100,26016,0.003989865042967722
62232,0.07,18.76,298,-0.6420913110556509,2110,26112,0.003855044924421236
62442,0.07,18.88,300,-0.6507578069874417,2120,26216,0.0037072155391797423
62642,0.07,18.84,301,-0.6427785210860654,2130,26320,0.0034314173681195825
62866,0.07,19.04,302,-0.662013626711009,2140,26432,0.004144133970839903
63065,0.07,18.91,303,-0.662965570869473,2150,26528,0.003947816556319594
63212,0.07,18.01,304,-0.6207884829140081,2160,26600,0.003790583141380921
63389,0.07,17.98,305,-0.6194171724345701,2170,26688,0.0037123100482858717
63537,0.07,17.64,306,-0.5954706988391726,2180,26768,0.0035006500547751784
63703,0.07,17.5,307,-0.5860925058998622,2190,26848,0.0035943347320426255
63843,0.07,17.04,308,-0.5724860072051874,2200,26920,0.0037271033215802163
64024,0.07,16.92,309,-0.5564197660638965,2210,27008,0.004617215890903026
64192,0.07,16.5,310,-0.5513207988873838,2220,27088,0.0034141516662202775
64410,0.07,16.68,311,-0.5712617531112835,2230,27200,0.0032001357758417726
64599,0.07,16.33,312,-0.5543801780186464,2240,27296,0.0029405872628558427
64815,0.07,16.5,313,-0.5578374059349915,2250,27400,0.003796162287471816
65005,0.07,16.93,314,-0.5756106378449439,2260,27496,0.0037645841657649726
65145,0.07,16.56,315,-0.5592352844161975,2270,27568,0.004312972858315334
65353,0.07,17.16,316,-0.5938918393829302,2280,27672,0.0034240254608448595
65522,0.07,17.19,317,-0.6005503705615507,2290,27760,0.003443849680479616
65712,0.07,17.69,318,-0.6398844481555648,2300,27848,0.0030119632720015943
65919,0.07,17.95,320,-0.6671131148128501,2310,27952,0.003585385682526976
66090,0.07,17.98,321,-0.6696050254778031,2320,28040,0.003277535259258002
66242,0.07,17.32,321,-0.6391116607084993,2330,28120,0.0037440811574924737
66405,0.07,17.06,322,-0.6318631446224078,2340,28200,0.0035431155120022595
66575,0.07,16.6,323,-0.6134287499851202,2350,28280,0.0031440240854863077
66735,0.07,16.3,324,-0.6079816350824894,2360,28360,0.0031892340921331197
66974,0.07,17.29,326,-0.6614257364509819,2370,28480,0.003424462367547676
67164,0.07,17.11,327,-0.6560604242605445,2380,28576,0.0036419858515728265
67275,0.07,16.53,327,-0.6287881983343239,2390,28632,0.002996933850226924
67423,0.07,16.11,328,-0.5973915156016303,2400,28704,0.0036337284254841506
67564,0.07,15.45,329,-0.5685941465945704,2410,28776,0.003422852692892775
67758,0.07,15.68,330,-0.5642026496966284,2420,28872,0.002947980829048902
67943,0.07,16.01,331,-0.5872115996740918,2430,28968,0.003427252930123359
68103,0.07,15.98,332,-0.5813900168634807,2440,29048,0.003703762573422864
68282,0.07,16.07,333,-0.5992186311593032,2450,29136,0.0032562094274908304
68447,0.07,16.12,334,-0.5952632277915998,2460,29216,0.003221612743800506
68619,0.07,15.45,335,-0.557217217147265,2470,29304,0.0033140704326797277
68806,0.07,15.42,336,-0.5605331082736158,2480,29400,0.0033007062156684697
69007,0.07,16.32,337,-0.6003954375941224,2490,29496,0.0035013874003197998
69179,0.07,16.56,338,-0.6146624759526016,2500,29584,0.0025083031214307994
69361,0.07,16.97,339,-0.6329325867952921,2510,29680,0.0038184526783879846
69524,0.07,16.66,340,-0.619026455982728,2520,29760,0.003125196701148525
69712,0.07,16.69,341,-0.6131475364565339,2530,29848,0.00297584492363967
69855,0.07,16.52,342,-0.6047068099606362,2540,29920,0.0027035036764573306
70054,0.07,16.72,343,-0.605850597662522,2550,30024,0.0031756710377521813
70198,0.07,16.51,344,-0.6014647970947101,2560,30096,0.003011428110767156
70378,0.07,16.59,345,-0.6163339052126279,2570,30184,0.002984695107443258
70559,0.07,16.53,346,-0.6113869314673306,2580,30272,0.003064311807975173
70755,0.07,16.48,347,-0.6123044858078773,2590,30376,0.002890759613364935
70924,0.07,16.45,348,-0.6142692534320586,2600,30456,0.0025792147789616138
71093,0.07,16.32,349,-0.6013239408048068,2610,30544,0.002919002901762724
71259,0.07,16.35,350,-0.6061424882966072,2620,30624,0.0027821303956443444
71431,0.07,16.19,351,-0.6049002543535129,2630,30712,0.002863923611585051
71601,0.07,16.46,352,-0.6100786370951634,2640,30800,0.0031057779560796916
71768,0.07,16.14,353,-0.596987824920982,2650,30880,0.002853041311027482
71907,0.07,16.09,354,-0.5904278152199377,2660,30952,0.003196180914528668
72085,0.07,16.07,355,-0.5812246732521018,2670,31040,0.0025120985956164077
72248,0.07,15.89,356,-0.571317763246578,2680,31120,0.002502622432075441
72405,0.07,15.5,357,-0.5605991469978815,2690,31200,0.0032815734448377043
72566,0.07,15.42,358,-0.5622108371076598,2700,31280,0.0026790987758431584
72747,0.07,15.54,359,-0.5659743054466805,2710,31368,0.0029602836002595723
72916,0.07,15.57,360,-0.5753990318698918,2720,31456,0.003270005836384371
73092,0.07,15.61,361,-0.5731061891455063,2730,31544,0.0029892430175095797
73280,0.07,15.79,362,-0.5892523083556107,2740,31632,0.0029906531126471236
73434,0.07,15.66,363,-0.5790760048466762,2750,31712,0.0028724045550916344
73629,0.07,16.22,364,-0.6067439690071633,2760,31808,0.0034029288799501956
73801,0.07,16.16,365,-0.6023507544035932,2770,31896,0.002915769859100692
73992,0.07,16.44,366,-0.6209308633176183,2780,31992,0.0032824001973494887
74136,0.07,16.31,367,-0.6091312176706761,2790,32064,0.003131437551928684
74309,0.07,16.43,368,-0.6155815160706551,2800,32152,0.0030854550132062286
74544,0.07,16.97,369,-0.644128947611703,2810,32264,0.0028493970166891813
74722,0.07,17.06,370,-0.6440709846462446,2820,32360,0.002858898282283917
74910,0.07,17.18,371,-0.6550380432687848,2830,32448,0.0028054746508132666
75069,0.07,16.89,372,-0.6356027457831186,2840,32528,0.003504759952193126
75280,0.07,17.46,373,-0.6592626581313807,2850,32632,0.0036832716141361743
75467,0.07,17.38,374,-0.6679529404974902,2860,32728,0.003089504491072148
75641,0.07,17.4,375,-0.6712614296410908,2870,32816,0.002985530562000349
75830,0.07,17.38,376,-0.6740507736393733,2880,32912,0.00256806387915276
75971,0.07,17.35,377,-0.6770633996060811,2890,32984,0.0030259245831985027
76099,0.07,16.9,378,-0.6503589027124549,2900,33048,0.0033096023253165185
76261,0.07,16.17,379,-0.6089150567484248,2910,33128,0.0032631521753501147
76394,0.07,15.72,379,-0.5913505952192618,2920,33192,0.0031859229784458876
76591,0.07,15.81,381,-0.5814626304913157,2930,33288,0.002798214729409665
76777,0.07,16.08,382,-0.5984093031371253,2940,33384,0.0027925233298446983
76921,0.07,15.41,382,-0.5691545245870961,2950,33456,0.0028689703613054007
77084,0.07,15.17,383,-0.5541693768709044,2960,33536,0.002993632748257369
77290,0.07,15.49,385,-0.5461748030437437,2970,33640,0.0031219399243127555
77448,0.07,15.18,386,-0.5269143789789843,2980,33720,0.003234146483009681
77603,0.07,15.32,386,-0.5255928490633852,2990,33800,0.002665458101546392
77757,0.07,15.58,387,-0.5391297755864397,3000,33872,0.002576847473392263
77906,0.07,15.45,388,-0.5306761137185712,3010,33952,0.0031759666453581303
78020,0.07,15.26,389,-0.5138964779270229,3020,34008,0.003076148947002366
78184,0.07,14.93,390,-0.5045311831658621,3030,34088,0.0031812582165002823
78363,0.07,14.86,391,-0.5061638596502307,3040,34176,0.002632870600791648
78542,0.07,15.21,392,-0.5269521505723502,3050,34264,0.0030110582301858813
78739,0.07,15.55,393,-0.54462343129431,3060,34368,0.0035639192210510373
78866,0.07,14.76,394,-0.5237485713474853,3070,34432,0.0030902818543836474
79036,0.07,14.88,395,-0.5313294912237366,3080,34512,0.0030868692556396127
79204,0.07,15.01,396,-0.544943509310332,3090,34600,0.0024217487371060997
79386,0.07,15.29,397,-0.5547515652459647,3100,34688,0.003371754923136905
79598,0.07,15.92,398,-0.593464912586592,3110,34792,0.003084399621002376
79761,0.07,16.41,399,-0.6228714705656909,3120,34880,0.0030472810904029757
79909,0.07,16.25,400,-0.6169980039020434,3130,34952,0.0031651758472435176
80049,0.07,15.86,401,-0.6012485680243722,3140,35024,0.0028482723573688418
80228,0.07,15.86,402,-0.5958195344598802,3150,35112,0.0029416745237540454
80398,0.07,15.59,403,-0.5753627542256493,3160,35192,0.002646451524924487
80574,0.07,16.08,404,-0.5919846769581762,3170,35280,0.002729304222157225
80728,0.07,15.92,405,-0.584587012042182,3180,35360,0.003086345357587561
80892,0.07,15.88,405,-0.5751455535820398,3190,35440,0.002989777858601883
81065,0.07,15.79,406,-0.5646516019089655,3200,35528,0.003193484037183225
81206,0.07,15.08,407,-0.5349664939764975,3210,35600,0.0029004221432842314
81396,0.07,15.35,408,-0.5458356682553145,3220,35696,0.003176378406351432
81584,0.07,15.75,409,-0.5709992818457721,3230,35784,0.0026791809068527073
81792,0.07,16.43,411,-0.5947581394675917,3240,35888,0.003116790408967063
81948,0.07,16.2,411,-0.5824915577951101,3250,35968,0.0031921146728564054
82137,0.07,16.39,413,-0.5946912420843802,3260,36064,0.002645725500769913
82290,0.07,16.16,413,-0.6038501446208425,3270,36144,0.0032693295215722173
