time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
90578,4000,0.07,-0.5744251470463269,15.32,489,0.002929527050582692,40288
90756,4010,0.07,-0.5775245480056582,15.43,490,0.0029092024196870625,40376
90902,4020,0.07,-0.5579971955803431,15.08,491,0.0030336868949234486,40448
91069,4030,0.07,-0.5529829496822039,15.28,492,0.0025317604013253003,40528
91223,4040,0.07,-0.5669041430587576,15.43,493,0.002845576935214922,40608
91348,4050,0.07,-0.5509749968259096,15.05,494,0.0028195729246363044,40672
91507,4060,0.07,-0.5563659316634936,15.11,495,0.0027356829086784273,40752
91693,4070,0.07,-0.569189923523218,15.42,496,0.0033586011559236795,40840
91869,4080,0.07,-0.565752106241236,15.27,497,0.0031661136890761554,40928
92026,4090,0.07,-0.5705616345667426,15.27,498,0.0026205559261143208,41008
92159,4100,0.07,-0.5398693233026978,14.81,499,0.0029711352981394157,41072
92325,4110,0.07,-0.526718515089603,14.69,500,0.0028268466994632035,41160
92491,4120,0.07,-0.528752407988559,14.89,501,0.0027638911706162617,41240
92703,4130,0.07,-0.5643927697776536,15.34,502,0.0026480899832677096,41344
92893,4140,0.07,-0.5882933806374345,15.7,503,0.0027702663792297244,41440
93030,4150,0.07,-0.592360050903587,15.82,504,0.0024947294441517442,41512
93238,4160,0.07,-0.6082908594875902,16.31,505,0.0023904767585918307,41616
93387,4170,0.07,-0.5965877917370173,15.94,506,0.0029007441917201504,41688
93514,4180,0.07,-0.5623611617099709,15.45,507,0.0023734800779493526,41752
93642,4190,0.07,-0.5439823065211001,15.16,508,0.0024463606387143955,41816
93782,4200,0.07,-0.5425227300570312,15.23,509,0.002879083069274202,41888
93953,4210,0.07,-0.545373319410646,15.28,510,0.002503544994397089,41976
94128,4220,0.07,-0.5614738463917411,15.37,511,0.0024832722992869094,42056
94324,4230,0.07,-0.5539601010377837,15.21,512,0.002602442546049133,42160
94486,4240,0.07,-0.5353964824624388,14.93,513,0.002392140100710094,42240
94661,4250,0.07,-0.5575116904070395,15.31,514,0.002918875397881493,42328
94816,4260,0.07,-0.5292856925557671,14.78,515,0.0027776054485002533,42400
94975,4270,0.07,-0.5378440145650415,14.88,516,0.0025010420358739793,42480
95168,4280,0.07,-0.5777762343475544,15.54,517,0.002586044342024252,42576
95349,4290,0.07,-0.6023347001445422,16.07,518,0.0024959507281892,42672
95502,4300,0.07,-0.6158431087382557,16.2,519,0.0027620375767583027,42744
95679,4310,0.07,-0.6229439215648581,16.26,520,0.0027890401834156364,42832
95840,4320,0.07,-0.621647947122155,16.12,521,0.002643901127157733,42912
95992,4330,0.07,-0.5997404546254586,15.68,522,0.0025013195554492995,42992
96123,4340,0.07,-0.5812053895138718,15.37,523,0.0031804345780983567,43056
96316,4350,0.07,-0.5842067150088753,15.55,524,0.0027207187667954713,43152
96462,4360,0.07,-0.5863512804423093,15.46,525,0.002840490808011964,43224
96620,4370,0.07,-0.5757007684546601,15.45,526,0.002239885099697858,43304
96779,4380,0.07,-0.5542636116827915,15.11,527,0.0026008678250946105,43384
96931,4390,0.07,-0.5452446028047605,14.82,528,0.0028551012801472098,43464
97094,4400,0.07,-0.5388562501318103,14.92,529,0.002198686604970135,43544
97229,4410,0.07,-0.5136108442713752,14.5,529,0.0029703593609156087,43608
97402,4420,0.07,-0.5087081970085964,14.62,531,0.00277400144841522,43696
97578,4430,0.07,-0.5087952320550028,14.86,532,0.0027928534836973995,43784
97761,4440,0.07,-0.5424482627124383,15.38,533,0.0026267596695106477,43880
97870,4450,0.07,-0.503462556466213,14.54,533,0.003181659762049094,43928
