time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/loss,train/n_updates
1450,-11.608363420948187,51.04,176327,1677,0.07,0.47026729211211205,78160
1460,-12.167257733635335,53.42,176953,1683,0.07,0.410237193107605,78472
1470,-12.394776361268175,53.88,177287,1687,0.07,0.27827742882072926,78640
1480,-12.073883819091908,54.15,177711,1691,0.07,0.43188798800110817,78848
1490,-11.477697950131777,51.22,178231,1696,0.07,0.6047124266624451,79112
1500,-12.04635575711763,54.7,178868,1702,0.07,0.5288043208420277,79432
1510,-10.695930857519839,48.11,179209,1706,0.07,0.1977972462773323,79600
1520,-9.578183082974473,43.46,179501,1709,0.07,0.6705266926437616,79744
1530,-9.563300965972362,43.09,179843,1712,0.07,0.5102880261838436,79920
1540,-9.259028250909829,40.78,180229,1716,0.07,0.4955465607345104,80112
1550,-9.649959177531372,42.78,180705,1721,0.07,0.3196135461330414,80352
1560,-10.065305654625005,45.91,181644,1730,0.07,0.4289146512746811,80816
1570,-10.244136105798543,47.37,182124,1735,0.07,0.7202648892998695,81056
1580,-10.273480899822495,46.73,182484,1739,0.07,0.679537758231163,81240
1590,-10.133121487815494,44.75,182806,1742,0.07,0.4342815075069666,81400
1600,-9.59626491347776,41.87,183155,1745,0.07,0.6058398708701134,81576
1610,-10.100154014264346,44.68,183777,1752,0.07,0.3938448019325733,81888
1620,-10.299189726127842,45.46,184147,1756,0.07,0.49183785915374756,82072
1630,-10.376227023034623,45.77,184520,1759,0.07,0.6645618081092834,82256
1640,-10.32315102536355,46.58,184987,1764,0.07,0.48918634094297886,82488
1650,-10.524578339891578,47.18,185523,1769,0.07,0.6521775349974632,82760
1660,-10.14543197534504,45.21,186265,1777,0.07,0.7707273811101913,83128
1670,-9.751936619416409,43.35,186559,1780,0.07,0.29102265648543835,83272
1680,-9.478229393103499,42.62,186846,1783,0.07,0.7399897649884224,83416
1690,-10.302753599988081,47.98,187704,1791,0.07,0.6468500234186649,83848
1700,-10.745150641127477,49.09,188164,1796,0.07,0.6046350933611393,84080
1710,-10.677778041459389,49.49,188826,1802,0.07,0.4731916505843401,84408
1720,-11.34335007111852,50.58,189305,1807,0.07,0.6643569152802229,84648
1730,-11.667956897611155,53.07,189927,1814,0.07,0.5979195646941662,84960
1740,-11.499671946467798,51.36,190223,1816,0.07,0.702484592795372,85104
1750,-11.04277549476998,50.25,190648,1821,0.07,0.4814860038459301,85320
1760,-10.66187238181589,46.68,191033,1825,0.07,0.49973561987280846,85512
