rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
2.5828259908556417,1288,67.27,1630,0.07,164401,77200,0.15291563162463717
2.6386809259225434,1294,68.74,1640,0.07,165086,77536,0.19040228627272882
2.4497290884055363,1299,61.71,1650,0.07,165657,77824,0.22009233420249075
2.5060138018693574,1304,62.89,1660,0.07,166317,78152,0.11779414230841212
2.6163924061108528,1312,66.62,1670,0.07,167271,78632,0.20955487806349993
2.5417519241443984,1317,66.18,1680,0.07,167838,78912,0.22413428779691458
2.5193726615528393,1322,65.98,1690,0.07,168417,79208,0.15641372281243093
2.459434878813169,1326,62.7,1700,0.07,168921,79456,0.16991168138338253
2.37061922059484,1331,60.16,1710,0.07,169532,79760,0.1416672323248349
2.4911004069855083,1338,63.19,1720,0.07,170301,80144,0.15388344589155167
2.5528734133796354,1343,64.27,1730,0.07,170928,80456,0.12971712567377836
2.543983701339469,1348,64.29,1740,0.07,171615,80800,0.16690646042115986
2.5493818511048003,1353,64.44,1750,0.07,172201,81096,0.11809066668502055
2.4532797305011664,1357,62.3,1760,0.07,172647,81320,0.13327255262993276
2.33745490290095,1363,59.62,1770,0.07,173333,81664,0.16209056694060564
2.316763083546902,1366,57.61,1780,0.07,173699,81848,0.15321463206782937
2.219019706635696,1369,55.83,1790,0.07,174100,82048,0.07988222732092254
2.1799461653860472,1374,56.44,1800,0.07,174665,82328,0.1577889600303024
2.159957668052775,1378,55.64,1810,0.07,175196,82592,0.07960777627886273
2.209126529394088,1384,55.57,1820,0.07,175958,82976,0.2079864963889122
2.151618891969346,1387,53.36,1830,0.07,176364,83176,0.12176023263600655
2.141912097555319,1392,52.53,1840,0.07,176968,83480,0.176876017882023
2.1483753795050125,1398,53.18,1850,0.07,177619,83808,0.18271775820176117
2.2192266106388208,1403,54.51,1860,0.07,178198,84096,0.1689353350084275
2.283462437767189,1408,54.26,1870,0.07,178859,84424,0.093055968725821
2.4126496332863288,1414,56.78,1880,0.07,179477,84736,0.15851099946303293
2.648369903636021,1420,60.73,1890,0.07,180273,85136,0.19339772942475975
2.588980772890228,1423,58.83,1900,0.07,180648,85320,0.10647138612694107
2.6321064422571983,1429,60.11,1910,0.07,181307,85648,0.24242298863828182
2.568651111654946,1435,59.5,1920,0.07,182008,86000,0.07857601085561328
2.564107773800519,1438,59.63,1930,0.07,182427,86208,0.17086138794547878
2.4943188683511655,1442,58.44,1940,0.07,182912,86448,0.20467227860353887
2.4344940207300088,1446,56.51,1950,0.07,183370,86680,0.14366850192891434
2.412252079990744,1452,57.18,1960,0.07,184016,87000,0.2197415605187416
2.4304032155895943,1459,59.09,1970,0.07,184868,87432,0.25512787338811904
2.308686508500925,1463,57.87,1980,0.07,185364,87680,0.09493108669994399
2.1612499779673287,1467,55.44,1990,0.07,185917,87952,0.14177786937216297
2.22114308739183,1472,56.54,2000,0.07,186402,88200,0.09120409266324714
2.1380305828935344,1476,55.48,2010,0.07,186955,88472,0.18232190795242786
2.3481996626503725,1488,62.78,2020,0.07,188386,89192,0.17049478154513054
2.4890317409991822,1496,67.71,2030,0.07,189298,89648,0.15653806162299588
2.5944777853142154,1503,71.75,2040,0.07,190187,90088,0.06730545943719335
2.7048503749247974,1510,75.24,2050,0.07,190994,90496,0.1859618299495196
2.9738903756027004,1522,83.15,2060,0.07,192431,91208,0.14300513453781605
2.9446258996577175,1528,81.88,2070,0.07,193156,91576,0.10199571400880814
2.984369097596194,1533,82.16,2080,0.07,193680,91832,0.20996361691504717
3.0656503787215486,1540,84.52,2090,0.07,194469,92232,0.09259924897924066
3.0687604018072574,1545,85.71,2100,0.07,195073,92536,0.09091901485226117
3.0273948523660645,1548,84.07,2110,0.07,195462,92728,0.12926865834742785
2.828672831557189,1554,76.71,2120,0.07,196157,93072,0.07994836004218087
2.7626256706783705,1559,74.26,2130,0.07,196824,93408,0.2351621463894844
2.8709622300005875,1568,75.23,2140,0.07,197810,93904,0.11783224460668862
2.809683812698811,1573,73.1,2150,0.07,198404,94200,0.16999394993763417
2.548381306422201,1577,63.7,2160,0.07,198901,94448,0.19401092291809618
2.6297885537366876,1585,66.1,2170,0.07,199866,94928,0.12538566798320971
