rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,122049,1000,863,131.43,4.721636633277215,56024,0.16987113695358858
0.07,123005,1010,870,122.5,4.431553156253783,56496,0.15738573035923764
0.07,124130,1020,879,116.11,4.263618832854235,57064,0.09399245557142422
0.07,125032,1030,886,109.19,4.005970115299302,57512,0.12696669506840408
0.07,125715,1040,891,103.03,3.847728134565374,57856,0.1229411112726666
0.07,126564,1050,898,99.09,3.7935521171554765,58280,0.11322514101630077
0.07,127306,1060,903,91.28,3.5071081938327833,58648,0.23468706710264087
0.07,128910,1070,915,97.22,3.7941960765185008,59448,0.06827784469351172
0.07,130140,1080,925,99.67,3.9323846744444095,60064,0.16106867301277816
0.07,131794,1090,939,104.02,4.17124555336255,60896,0.08072668660315685
0.07,132505,1100,945,103.56,4.1870280772376285,61248,0.08110847321222536
0.07,133924,1110,956,108.19,4.430490010306201,61960,0.1575384892639704
0.07,134927,1120,964,106.97,4.441437494089525,62456,0.12866248277714476
0.07,135829,1130,972,106.97,4.445733011314417,62912,0.11061052774311975
0.07,137628,1140,987,118.13,4.9016427708367845,63808,0.15675527800340205
0.07,138767,1150,996,121.03,5.055368628723705,64376,0.16095964034320787
0.07,140506,1160,1010,131.0,5.488106223463153,65248,0.15804346289951354
0.07,141599,1170,1019,125.89,5.269492099469635,65792,0.14097908791154623
0.07,142829,1180,1029,125.89,5.306500765879082,66408,0.09394726302707568
0.07,144168,1190,1040,122.74,5.192653281963968,67080,0.12777920969529077
0.07,146056,1200,1055,134.51,5.7376228509521665,68024,0.1293719248205889
0.07,147491,1210,1067,134.67,5.77014624573181,68744,0.09436575922882184
0.07,149935,1220,1087,149.08,6.402132212203553,69960,0.07907838930259459
0.07,151160,1230,1097,152.31,6.554473430370689,70576,0.15715150866890326
0.07,153122,1240,1113,153.94,6.580019887193016,71560,0.09984618989983574
0.07,155274,1250,1131,164.07,6.954907674965664,72632,0.14156033156905323
0.07,157468,1260,1148,168.62,7.139148443891314,73728,0.2282586870715022
0.07,159559,1270,1166,178.6,7.4943773796358,74776,0.11081833331263624
0.07,161510,1280,1182,185.81,7.751081406209474,75752,0.09599005998461507
0.07,163058,1290,1194,187.9,7.736386897576579,76528,0.08071576725342311
0.07,163978,1300,1202,178.22,7.246895881565169,76984,0.06746940690209158
0.07,165254,1310,1212,176.63,7.132856304146114,77624,0.1714416338072624
0.07,167647,1320,1232,176.12,7.01260551466696,78816,0.0806582533987239
0.07,169447,1330,1247,181.87,7.199112156727782,79720,0.12677417616941966
0.07,171461,1340,1263,182.39,7.189745747460138,80728,0.06347545015159994
0.07,173021,1350,1276,176.47,6.893748461067739,81504,0.05022794977412559
0.07,174306,1360,1286,167.38,6.471552404457669,82152,0.051445839169900864
0.07,176404,1370,1303,167.45,6.309322664963563,83200,0.08219129874487408
0.07,177763,1380,1314,161.53,6.034913659674356,83880,0.09400355277466588
0.07,179719,1390,1330,165.61,6.161541151615787,84856,0.0826253310078755
0.07,181763,1400,1346,176.85,6.653720343460509,85880,0.0811238219612278
0.07,183601,1410,1361,182.47,6.833265499578822,86800,0.08070371556095779
0.07,185182,1420,1372,174.35,6.507066590832676,87584,0.03572049958165735
0.07,187007,1430,1386,174.6,6.517618254731173,88496,0.09799192636273801
0.07,188530,1440,1397,169.69,6.31685950949838,89264,0.06503101694397628
0.07,189819,1450,1407,166.98,6.205990198966121,89904,0.08089324666070752
0.07,190889,1460,1415,164.83,6.135908102492607,90440,0.09673010074766353
0.07,191958,1470,1423,154.54,5.860876301827957,90976,0.09683306800434366
0.07,192902,1480,1430,150.39,5.667311000801644,91448,0.08134080059244297
0.07,193795,1490,1437,139.76,5.321408111569528,91896,0.06565273416345008
0.07,194713,1500,1444,128.5,4.8157618279677425,92352,0.1110050257993862
0.07,195874,1510,1453,121.73,4.615063480052635,92936,0.01933822882710956
0.07,196695,1520,1460,114.13,4.31787739510097,93344,0.09582331168348901
0.07,197517,1530,1466,104.1,3.9358660375769743,93752,0.09789722721325234
0.07,198361,1540,1473,97.31,3.717233640999193,94176,0.06357842864235863
0.07,199445,1550,1482,95.26,3.6617401472366042,94720,0.0669303398753982
