time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,train/loss,train/n_updates
153667,297.45,1351,0.07,700,246.27858528737298,0.5518341548740864,66832
156588,296.66,1377,0.07,710,245.4705474372952,0.9612374342978001,68288
159280,293.58,1402,0.07,720,242.22491594701876,0.5408732369542122,69632
162280,293.58,1430,0.07,730,240.417600137905,0.5075269304215908,71136
164838,289.16,1454,0.07,740,234.99605950466565,0.5275884494185448,72416
167379,284.57,1478,0.07,750,228.01622227338032,0.5405241400003433,73688
170002,280.8,1501,0.07,760,224.9984798666509,0.5494574941694736,75000
172895,279.73,1528,0.07,770,221.08644380187098,0.5558914616703987,76440
174806,270.39,1546,0.07,780,212.18696732883208,0.5006059408187866,77400
176904,261.37,1564,0.07,790,206.13481036623813,0.8587055504322052,78448
179250,254.83,1585,0.07,800,200.24994965835663,0.5142212621867657,79624
181201,245.13,1603,0.07,810,190.84576045671588,0.7557707205414772,80600
184017,246.37,1629,0.07,820,191.32302829986796,0.4857574664056301,82008
186889,245.09,1655,0.07,830,191.76785431529558,0.4994957335293293,83440
189169,242.31,1675,0.07,840,191.38360681547002,0.4240951035171747,84584
191852,243.73,1699,0.07,850,195.7785552517272,0.4520583786070347,85920
194071,239.69,1719,0.07,860,193.2272873802952,0.4158465825021267,87032
196031,230.36,1737,0.07,870,187.98671641488718,0.3787076845765114,88008
198242,233.36,1757,0.07,880,191.6472538072399,0.3900674730539322,89120
