time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
970,137,14.61,33880,0.2122900000000001,-0.5037021611077028,11936,0.06839658366516232
980,138,14.95,34074,0.2077795,-0.5302092889745585,12032,0.10947428271174431
990,139,15.12,34228,0.20419900000000035,-0.5409110425624521,12112,0.09559075674042106
1000,140,14.8,34376,0.20075799999999988,-0.5313582064662576,12184,0.12362221488729119
1010,141,14.85,34540,0.19694500000000026,-0.521800291222059,12264,0.0883171702735126
1020,142,14.8,34683,0.19362025000000016,-0.5129960168952242,12336,0.08995126141235232
1030,143,14.9,34860,0.18950500000000003,-0.522301081029742,12424,0.06301859288942069
1040,144,14.86,35013,0.18594774999999997,-0.5273096256797095,12504,0.10862320475280285
1050,145,15.12,35189,0.1818557500000001,-0.5325862535716072,12592,0.06597447860985994
1060,146,15.4,35360,0.17787999999999982,-0.5468642448653163,12672,0.09502722648903728
1070,146,15.21,35501,0.1746017499999999,-0.5429824603956594,12744,0.08940821886062622
1080,147,14.71,35645,0.1712537500000002,-0.510651928580519,12816,0.10896731074899435
1090,148,14.81,35809,0.16744075000000014,-0.5118409949176401,12904,0.11694573378190398
1100,149,14.42,35918,0.16490649999999996,-0.5024111336258404,12952,0.0911714592948556
1110,150,14.26,36066,0.16146550000000004,-0.5059528925466381,13032,0.09660599194467068
1120,151,14.42,36225,0.15776875000000024,-0.5141785461286336,13112,0.08150414354167879
1130,151,13.82,36342,0.1550484999999998,-0.4881152326027366,13168,0.09814009605906904
1140,152,13.66,36479,0.15186325000000023,-0.48358460574827317,13232,0.1103595495223999
1150,153,13.52,36641,0.14809674999999978,-0.4769545760371435,13320,0.09993949835188687
1160,154,13.28,36788,0.14467900000000022,-0.4612815809248245,13392,0.10095163085497916
1170,155,13.39,36940,0.1411450000000002,-0.4653388387317141,13464,0.1067727617919445
1180,156,13.59,37104,0.137332,-0.4777372391824657,13544,0.11990948021411896
1190,157,13.73,37282,0.1331935000000002,-0.48465710231214587,13640,0.08020723890513182
1200,158,14.47,37465,0.1289387500000002,-0.5135361969170583,13728,0.09247858542948961
1210,158,14.52,37618,0.12538150000000026,-0.5135536389771846,13808,0.09913004003465176
1220,159,14.57,37782,0.12156849999999997,-0.5219126317337838,13888,0.06818372127600014
1230,160,14.8,37922,0.11831349999999985,-0.5251864834335567,13960,0.08682165900245309
1240,161,14.89,38068,0.11491900000000022,-0.5313292907164712,14032,0.08373395726084709
1250,162,15.0,38241,0.11089674999999977,-0.550446971217597,14120,0.07265169080346823
1260,163,14.83,38371,0.10787425000000017,-0.5527618528054272,14184,0.07572189392521977
1270,164,14.97,38537,0.10401475000000004,-0.556963351597449,14264,0.09760397300124168
1280,165,15.15,38719,0.09978325000000021,-0.5496032790912073,14352,0.05514165083877742
1290,166,14.87,38869,0.09629575000000012,-0.5279807528023324,14432,0.06068373052403331
1300,167,14.54,39019,0.09280825000000004,-0.5108498451735811,14504,0.07308987993746996
1310,167,14.17,39135,0.09011124999999998,-0.49907934838385487,14560,0.0696059470064938
1320,168,14.09,39291,0.08648424999999982,-0.4994821059591898,14640,0.07160582579672337
1330,169,13.97,39419,0.08350825000000006,-0.4995425922507162,14704,0.055683687794953585
1340,170,14.12,39580,0.0797650000000002,-0.5145716104619471,14784,0.07908342452719808
1350,171,14.34,39775,0.07523125000000008,-0.5136459289431589,14880,0.04766832524910569
1360,172,14.65,39936,0.07148800000000022,-0.532743420633573,14960,0.05813790624961257
1370,173,14.32,40069,0.07,-0.5244541105785891,15032,0.049412001855671406
1380,173,13.6,40179,0.07,-0.5111191214100699,15088,0.047590916277840734
1390,174,13.6,40329,0.07,-0.5180501614101257,15160,0.042775752022862434
1400,175,13.71,40490,0.07,-0.5213808585271649,15240,0.05148826306685805
1410,176,13.53,40588,0.07,-0.5110259634028916,15288,0.05919582024216652
1420,176,13.24,40715,0.07,-0.49340926535114343,15352,0.03642141539603472
1430,177,13.25,40844,0.07,-0.48945164312686884,15416,0.037451982498168945
1440,178,13.28,41008,0.07,-0.4842975134673694,15496,0.03694427397567779
1450,179,13.11,41186,0.07,-0.475828029990045,15592,0.042681143153458834
1460,180,13.02,41338,0.07,-0.47500661774121156,15664,0.032134847017005086
1470,181,12.77,41446,0.07,-0.4613338017060991,15720,0.032998412381857634
1480,181,12.79,41558,0.07,-0.46021659685219146,15776,0.02572694281116128
1490,182,13.01,41730,0.07,-0.47189564796662076,15864,0.025205348036251962
1500,183,13.07,41897,0.07,-0.47631300562398765,15944,0.031230401247739792
1510,184,13.54,42042,0.07,-0.4987155695699104,16016,0.023031963035464287
1520,185,13.37,42152,0.07,-0.49194863558316365,16072,0.021021917928010225
1530,185,13.48,42292,0.07,-0.4944792637216369,16144,0.02475861762650311
1540,186,13.62,42470,0.07,-0.4997586174581511,16232,0.028103182325139642
1550,187,13.15,42601,0.07,-0.4829176221579975,16296,0.02205124916508794
1560,188,13.34,42772,0.07,-0.4812227382712056,16384,0.019512561382725835
1570,189,13.45,42891,0.07,-0.48323331736691877,16440,0.019253626465797424
