time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates
2080,78.96,1402,187055,0.07,3.2897948423226966,0.18502421885204967,88520
2090,77.92,1408,187779,0.07,3.226354631661362,0.11479758768109605,88888
2100,76.54,1413,188426,0.07,3.169694839628604,0.1454202390741557,89208
2110,77.06,1420,189303,0.07,3.145942743020258,0.1708785843802616,89648
2120,78.47,1427,190173,0.07,3.197293234632728,0.267433152301237,90080
2130,75.3,1431,190633,0.07,3.0460761297687604,0.20109156845137477,90312
2140,79.84,1439,191684,0.07,3.2037025187527437,0.17028607174870558,90840
2150,76.33,1443,192208,0.07,3.027279099308253,0.21071317419409752,91096
2160,74.71,1449,192958,0.07,2.961728539951203,0.14399476163089275,91472
2170,69.14,1453,193390,0.07,2.7388370256078955,0.14215187125955708,91688
2180,67.06,1457,193861,0.07,2.64114363942746,0.2136517008766532,91928
2190,65.95,1462,194474,0.07,2.5761355829748593,0.1833179069799371,92232
2200,68.73,1469,195399,0.07,2.6902151842676982,0.11552396338083781,92696
2210,66.86,1475,196089,0.07,2.6664585794496913,0.1872732558840653,93040
2220,68.63,1483,197136,0.07,2.7514134844346967,0.15451732091605663,93560
2230,74.5,1492,198183,0.07,2.984293292630192,0.1298323482624255,94088
2240,70.62,1497,198846,0.07,2.8403694062000358,0.21418935840483755,94416
2250,71.58,1502,199466,0.07,2.876845050834433,0.22787757401238196,94728
