time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss
155062,0.07,940,-17.672654168804865,60.33,1473,67528,1.3089515343308449
155838,0.07,950,-18.20057669044162,62.86,1482,67912,1.223098173737526
156520,0.07,960,-18.69318548114005,64.84,1489,68256,1.3881512582302094
157387,0.07,970,-19.904948309952907,67.82,1498,68688,1.2653925865888596
158004,0.07,980,-19.394162999709568,66.67,1504,69000,1.2899238765239716
158876,0.07,990,-20.300920651110037,67.3,1513,69432,1.1687193363904953
159933,0.07,1000,-21.667289617208997,70.52,1524,69960,1.2129905819892883
160512,0.07,1010,-21.84315146168612,70.42,1530,70248,1.204578310251236
161378,0.07,1020,-21.96736536055105,71.54,1539,70688,1.2094322443008423
162035,0.07,1030,-22.74010380636488,73.83,1546,71016,1.3009800910949707
162638,0.07,1040,-23.2981898030809,74.76,1552,71312,1.3768486976623535
163456,0.07,1050,-23.562900814508012,75.18,1560,71720,1.1952872648835182
164194,0.07,1060,-24.046764804681985,75.74,1567,72096,1.3324515670537949
165143,0.07,1070,-23.761759975192803,76.56,1576,72568,1.2376208752393723
165874,0.07,1080,-24.01946086183075,77.7,1584,72936,1.2916841506958008
166685,0.07,1090,-23.779892939726587,77.09,1592,73336,1.3724275529384613
167415,0.07,1100,-22.478648908110255,73.82,1599,73704,1.2877405881881714
167994,0.07,1110,-22.38505481451299,73.82,1605,73992,1.3387570902705193
168564,0.07,1120,-21.519450942184324,70.86,1610,74280,1.3688113540410995
169114,0.07,1130,-21.14925395726549,69.79,1616,74552,1.3079954832792282
169598,0.07,1140,-20.63534889221832,68.6,1620,74792,1.2939039170742035
170762,0.07,1150,-23.129159192865195,72.06,1632,75376,1.3277219831943512
171435,0.07,1160,-22.877575246452672,71.41,1639,75712,1.270308718085289
172044,0.07,1170,-22.046578800246028,68.01,1645,76016,1.1916360259056091
172627,0.07,1180,-21.795597479916378,66.53,1651,76312,1.2286343574523926
173129,0.07,1190,-20.580195799943468,63.44,1655,76560,1.3143958300352097
173715,0.07,1200,-20.180595277058707,62.0,1661,76856,1.2752154767513275
174208,0.07,1210,-19.9407305895836,61.14,1666,77096,1.2757420241832733
174703,0.07,1220,-19.483363342993457,60.39,1671,77344,1.3032476156949997
175294,0.07,1230,-19.711982983737247,60.8,1677,77640,1.313783437013626
176001,0.07,1240,-20.438370676773705,63.03,1684,78000,1.2580866813659668
176515,0.07,1250,-17.12413614745866,56.53,1689,78256,1.1823520213365555
177214,0.07,1260,-17.420453746784816,56.79,1696,78600,1.2181105613708496
177927,0.07,1270,-17.870002641317747,57.83,1704,78960,1.1626405268907547
178409,0.07,1280,-17.649689969488875,56.82,1709,79200,1.212234765291214
179032,0.07,1290,-18.176234589550347,58.03,1715,79512,1.291142299771309
179701,0.07,1300,-18.42989583525049,58.86,1722,79848,1.3433813750743866
180156,0.07,1310,-18.339112475050374,58.48,1726,80072,1.2023873925209045
180651,0.07,1320,-18.688252415751887,58.48,1732,80320,1.280100241303444
181332,0.07,1330,-19.11384721486092,59.38,1739,80664,1.1623476147651672
181904,0.07,1340,-18.59736085399019,58.03,1744,80944,1.2026653736829758
182402,0.07,1350,-18.634038199952123,57.87,1749,81200,1.3512066006660461
182954,0.07,1360,-17.939410482470507,56.4,1755,81472,1.2493658512830734
183540,0.07,1370,-17.409451470073275,55.13,1761,81768,1.132657751441002
184064,0.07,1380,-17.594212339826097,55.55,1766,82024,1.1761414706707
184515,0.07,1390,-17.10754634687121,53.83,1770,82256,1.240441970527172
185018,0.07,1400,-16.584044317083347,52.17,1775,82504,1.248673751950264
185525,0.07,1410,-16.74869680888087,52.69,1780,82760,1.1752722561359406
185974,0.07,1420,-16.505427464019114,52.23,1785,82984,1.1131332367658615
186468,0.07,1430,-15.74794028634236,50.36,1790,83232,1.175977274775505
186948,0.07,1440,-15.751976967565275,49.44,1794,83472,1.204621821641922
187444,0.07,1450,-15.658289490559365,49.42,1799,83720,1.1568850055336952
187965,0.07,1460,-15.470255087838828,49.11,1804,83976,1.25059674680233
188517,0.07,1470,-15.264727247862961,48.77,1810,84256,1.1216125339269638
189547,0.07,1480,-17.451102562639218,53.83,1820,84768,1.2088562697172165
190199,0.07,1490,-18.138257693323588,55.84,1827,85096,1.0187650844454765
190716,0.07,1500,-18.211447191943385,55.98,1832,85352,1.093462347984314
191171,0.07,1510,-18.261857064688503,55.46,1836,85584,1.1364366859197617
191728,0.07,1520,-18.56502039735182,56.54,1842,85856,1.1390735656023026
192231,0.07,1530,-18.584130366170495,56.63,1847,86112,1.0530778542160988
192736,0.07,1540,-18.589019741038673,56.88,1852,86360,1.0945732295513153
193309,0.07,1550,-18.786020630506503,57.65,1857,86648,0.9846182018518448
193969,0.07,1560,-19.62193358018098,59.04,1864,86984,1.0742525905370712
194456,0.07,1570,-19.63856233495533,58.39,1869,87224,0.9991555958986282
195037,0.07,1580,-17.4733611627407,53.9,1875,87512,0.9893616884946823
195539,0.07,1590,-16.86406641500328,52.4,1880,87768,1.0579706281423569
196187,0.07,1600,-17.535540932765798,53.71,1886,88088,0.9914232343435287
196675,0.07,1610,-17.599672400694065,54.04,1891,88336,1.036588929593563
197260,0.07,1620,-17.684352836417,54.32,1897,88624,0.9854171946644783
198124,0.07,1630,-19.233817584433623,57.93,1905,89056,0.9632079154253006
198713,0.07,1640,-19.850630491329607,58.77,1911,89352,1.032973051071167
199678,0.07,1650,-22.428278352058133,62.69,1921,89832,1.2212893217802048
