rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
32.46,733,800,0.07,81222,0.0,30608,4.488121436452275e-05
29.82,736,810,0.07,81477,0.0,30736,0.00010422118907627009
29.99,740,820,0.07,81788,0.0,30888,4.665030689920968e-05
30.5,744,830,0.07,82113,0.0,31056,5.3420660549363674e-05
30.24,747,840,0.07,82432,0.0,31208,4.865985624746827e-05
29.35,750,850,0.07,82669,0.0,31328,4.569147779420746e-05
28.97,754,860,0.07,82971,0.0,31480,6.634638657487812e-05
29.06,758,870,0.07,83286,0.0,31640,2.998977845436457e-05
29.41,761,880,0.07,83590,0.0,31792,4.0564238815932185e-05
28.67,764,890,0.07,83858,0.0,31928,3.181484862579964e-05
28.01,767,900,0.07,84123,0.0,32056,2.9192038539349596e-05
29.36,772,910,0.07,84513,0.0,32256,2.2493234496323566e-05
30.11,777,920,0.07,84899,0.0,32448,1.2984148384020955e-05
30.06,780,930,0.07,85219,0.0,32608,1.7973693445583194e-05
30.4,785,940,0.07,85572,0.0,32784,1.5531325175288657e-05
30.83,788,950,0.07,85852,0.0,32920,1.9612568337379344e-05
30.73,791,960,0.07,86144,0.0,33064,2.2505607262246485e-05
30.33,795,970,0.07,86419,0.0,33208,1.9543273538147332e-05
30.28,798,980,0.07,86718,0.0,33352,9.97339770947292e-06
32.62,804,990,0.07,87220,0.0,33608,1.344837531291887e-05
33.96,809,1000,0.07,87619,0.0,33808,1.6635469023640326e-05
32.86,812,1010,0.07,87899,0.0,33944,8.559467659097209e-06
32.28,816,1020,0.07,88227,0.0,34112,1.4977585010456096e-05
34.82,822,1030,0.07,88801,0.0,34400,2.374264170157403e-05
37.23,829,1040,0.07,89395,0.0,34696,4.636763662801968e-06
41.0,837,1050,0.07,90052,0.0,35024,8.58234631095911e-06
41.52,841,1060,0.07,90396,0.0,35192,5.408042085264242e-06
45.78,849,1070,0.07,91097,0.0,35544,6.213413428213244e-06
46.49,854,1080,0.07,91467,0.0,35728,4.055984902606724e-06
47.71,861,1090,0.07,92091,0.0,36040,3.6154853546577215e-06
52.34,871,1100,0.07,92953,0.0,36472,2.7527696317974915e-06
61.36,885,1110,0.07,94135,0.0,37064,3.078310584214705e-06
64.69,893,1120,0.07,94796,0.0,37392,2.9360728319716145e-06
73.36,910,1130,0.07,96237,0.0,38112,2.6785951376950834e-06
74.04,917,1140,0.07,96899,0.0,38448,3.5181195130462584e-06
73.56,925,1150,0.07,97508,0.0,38752,2.683169867623292e-06
78.51,935,1160,0.07,98347,0.0,39168,2.1680893382836075e-06
81.26,947,1170,0.07,99323,0.0,39656,1.823724801397475e-06
88.1,960,1180,0.07,100377,0.0,40184,2.361574814813139e-06
96.95,985,1190,0.07,101886,0.0,40936,2.1853883822586795e-06
103.3,1003,1200,0.07,103383,0.0,41688,3.070639479574311e-06
103.23,1017,1210,0.07,104558,0.0,42272,2.7127606614385513e-06
122.73,1047,1220,0.07,107169,0.0,43584,2.5945121961967743e-06
135.51,1079,1230,0.07,109888,0.0,44936,2.516422334508661e-06
158.89,1114,1240,0.07,112888,0.0,46440,1.831049573297605e-06
179.55,1146,1250,0.07,115563,0.0,47776,1.2019650945660487e-06
201.16,1181,1260,0.07,118563,0.0,49280,6.657894431327804e-07
221.4,1216,1270,0.07,121563,0.0,50776,9.913929766014462e-07
240.86,1251,1280,0.07,124563,0.0,52280,7.750374066972654e-07
255.77,1288,1290,0.07,127563,0.0,53776,6.044874822919155e-07
270.8,1323,1300,0.07,130563,0.0,55280,6.78379954877073e-07
289.05,1358,1310,0.07,133563,0.0,56776,8.049207842475425e-07
290.11,1391,1320,0.07,136280,0.0,58136,4.741553940590393e-07
290.12,1423,1330,0.07,139000,0.0,59496,5.775605078639501e-07
287.39,1455,1340,0.07,141727,0.0,60856,6.778410757135589e-07
290.64,1490,1350,0.07,144727,0.0,62360,4.88401491693935e-07
290.64,1526,1360,0.07,147727,0.0,63856,5.684158921326343e-07
282.36,1552,1370,0.07,149899,0.0,64944,4.2327616789350486e-07
275.78,1581,1380,0.07,152241,0.0,66120,6.252920012883578e-07
270.49,1610,1390,0.07,154712,0.0,67352,4.848609194141318e-07
263.25,1638,1400,0.07,156988,0.0,68488,4.349758757626887e-07
260.48,1670,1410,0.07,159711,0.0,69848,3.3156137746459535e-07
250.59,1690,1420,0.07,161439,0.0,70712,6.421810780921078e-07
241.03,1711,1430,0.07,163203,0.0,71600,8.347001667630138e-07
235.64,1736,1440,0.07,165391,0.0,72688,5.951605679399563e-07
227.88,1761,1450,0.07,167615,0.0,73800,4.834049622814973e-07
220.63,1788,1460,0.07,169890,0.0,74944,4.3937200899790696e-07
219.43,1811,1470,0.07,171942,0.0,75968,3.33147241349252e-07
215.26,1833,1480,0.07,173867,0.0,76928,3.241788562036163e-07
198.72,1843,1490,0.07,174684,0.0,77336,4.0914816601400616e-07
193.05,1862,1500,0.07,176393,0.0,78192,2.7578747641143764e-07
184.44,1884,1510,0.07,178255,0.0,79120,6.069936109298624e-07
185.46,1904,1520,0.07,180085,0.0,80040,2.2520725817543052e-07
185.22,1924,1530,0.07,181825,0.0,80912,7.900411986838662e-07
179.12,1944,1540,0.07,183403,0.0,81696,1.5525653740411371e-07
179.24,1969,1550,0.07,185639,0.0,82816,4.873459227283661e-07
175.23,1990,1560,0.07,187513,0.0,83752,4.993476814263431e-07
175.69,2013,1570,0.07,189611,0.0,84800,3.597290758605709e-07
179.93,2041,1580,0.07,191960,0.0,85976,4.1433177067062843e-07
189.01,2059,1590,0.07,193685,0.0,86840,2.9760872877204747e-07
189.74,2079,1600,0.07,195467,0.0,87728,3.52118927793299e-07
192.59,2103,1610,0.07,197614,0.0,88800,3.585846899412104e-07
194.04,2125,1620,0.07,199589,0.0,89792,5.70678237998834e-07
