rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
-2.6692892896163953,0.07,870,105.51,108709,530,49352,0.02496609851368703
-2.543921379919625,0.07,880,101.23,109458,534,49728,0.017228090204298496
-2.440791976406117,0.07,890,96.87,110048,537,50016,0.07503550293040462
-2.172493102137928,0.07,900,85.91,110665,540,50328,0.061814953209250234
-2.0904927567457845,0.07,910,82.09,111473,544,50736,0.05467270454391837
-2.0757013396887523,0.07,920,81.12,112261,549,51128,0.05477523215813562
-2.0358274599857187,0.07,930,79.42,112973,552,51480,0.05507611721986905
-1.901531803241281,0.07,940,74.24,113787,557,51888,0.039484704175265506
-2.013777082419426,0.07,950,79.19,114905,562,52448,0.03299298480851576
-2.0895411368511305,0.07,960,82.04,116024,568,53008,0.05551718722563237
-2.0355767235785627,0.07,970,80.29,116838,573,53416,0.04662038692913484
-2.0781743170036324,0.07,980,81.63,117721,577,53856,0.025312498735729605
-2.1447545012308002,0.07,990,84.18,118566,582,54280,0.07249526015948504
-2.1295064086776305,0.07,1000,84.05,119170,585,54584,0.06714770221151412
-2.0746317535604346,0.07,1010,82.4,119813,588,54904,0.039649408136028796
-2.111606613725071,0.07,1020,84.03,120764,593,55376,0.050237847986863926
-2.2030583757668865,0.07,1030,88.31,121904,599,55944,0.0630764743546024
-2.2422663513116405,0.07,1040,89.97,122884,604,56440,0.05596586753381416
-2.1921773514595606,0.07,1050,87.67,123772,609,56880,0.017397842544596642
-2.082432879666583,0.07,1060,83.8,124504,613,57248,0.0773055288445903
-2.059690078423617,0.07,1070,82.09,125147,616,57568,0.040930936665972695
-1.9997116951243787,0.07,1080,79.77,125798,620,57896,0.03415404219413176
-1.9300461452184932,0.07,1090,77.08,126374,623,58184,0.10247724180226214
-1.9868698527106374,0.07,1100,79.12,127182,627,58584,0.07824634097050875
-1.947007018975536,0.07,1110,77.19,127632,629,58808,0.09414759572246112
-1.931635697635343,0.07,1120,76.48,128512,634,59248,0.11999274969275575
-1.851766870302133,0.07,1130,71.61,129165,637,59576,0.0635215847287327
-1.8048829100515607,0.07,1140,69.2,129904,641,59944,0.07200455512793269
-1.7221019175480736,0.07,1150,64.92,130364,643,60176,0.0805974053509999
-1.775500439216671,0.07,1160,66.75,131279,648,60632,0.0711121262575034
-1.795892448375312,0.07,1170,66.96,131943,652,60968,0.03366173064569011
-1.7957065625037232,0.07,1180,66.64,132562,655,61280,0.07868212299945299
-1.7661769699507261,0.07,1190,65.58,133032,657,61512,0.04985967493848875
-1.8029216036217484,0.07,1200,67.59,134041,662,62016,0.08195352042093873
-1.8603093658133911,0.07,1210,69.56,134688,666,62336,0.07287128147436306
-1.8661111820462606,0.07,1220,70.18,135630,671,62808,0.06437516666483134
-1.879058805636272,0.07,1230,71.95,136460,675,63224,0.08750607911497355
-1.823173490095568,0.07,1240,69.77,136981,678,63488,0.08116712683113292
-1.9224485605904758,0.07,1250,74.29,137893,683,63944,0.08711533033056185
-1.9115006393773493,0.07,1260,73.75,138754,687,64376,0.06518648886412848
-1.913716344614009,0.07,1270,74.65,139508,691,64752,0.05758656004036311
-1.9305124218328364,0.07,1280,75.07,140169,695,65080,0.05036304236273281
-2.0149715241401633,0.07,1290,78.37,140969,699,65480,0.10041582002304494
-2.064556290674457,0.07,1300,80.22,142163,705,66080,0.06553703923418652
-2.0611936027826836,0.07,1310,79.83,142771,708,66384,0.07241249395883642
-2.091737956596709,0.07,1320,80.55,143785,714,66888,0.1030093580193352
-2.138889819886222,0.07,1330,82.48,144808,720,67400,0.04939766222378239
-2.270563438839765,0.07,1340,88.15,145896,725,67944,0.0752359603648074
-2.2273706901800083,0.07,1350,86.38,146631,729,68312,0.09086721003404818
-2.28881448975895,0.07,1360,89.44,147798,735,68896,0.06627050761017017
-2.2478618772756,0.07,1370,87.88,148396,738,69192,0.07257537012628745
-2.2650873421502564,0.07,1380,88.57,149126,742,69560,0.10740227249334566
-2.2648808092181882,0.07,1390,88.4,149909,746,69952,0.06462564671528526
-2.199272142472271,0.07,1400,85.61,150824,751,70408,0.06613691305392422
-2.223128883440579,0.07,1410,87.58,151629,755,70808,0.06549868853471708
-2.2094068080663103,0.07,1420,87.02,152587,760,71288,0.058122933842241764
-2.214881884581183,0.07,1430,87.11,153619,765,71808,0.089791102160234
-2.200620307767124,0.07,1440,85.88,154584,770,72288,0.111737139406614
-2.2866082116118243,0.07,1450,89.98,155729,776,72864,0.0752562404377386
-2.1875597619168023,0.07,1460,84.94,156392,780,73192,0.1317463843151927
-2.260694876348532,0.07,1470,88.14,157310,785,73648,0.08223579009063542
-2.32158039137729,0.07,1480,90.4,158266,790,74128,0.08094381881528534
-2.294056444760117,0.07,1490,89.62,158971,793,74480,0.06652959776693024
-2.2258605932093514,0.07,1500,86.01,159525,796,74760,0.08988912357017398
-2.233195828376492,0.07,1510,85.7,160299,800,75144,0.06675764921237715
-2.227730198058446,0.07,1520,85.17,161204,805,75600,0.09952638810500503
-2.1620699599644135,0.07,1530,82.22,161941,809,75968,0.06675493686634582
-2.152364358804515,0.07,1540,81.65,162849,814,76424,0.08175042527727783
-2.0390952991987974,0.07,1550,76.72,163501,817,76744,0.08516606246121228
-2.026103926649305,0.07,1560,75.88,164080,820,77032,0.07642174395732582
-2.012800107240862,0.07,1570,73.99,164809,824,77400,0.04520963420509361
-2.0713503527666743,0.07,1580,74.47,165813,829,77904,0.08405035105533898
-2.05893235500503,0.07,1590,73.28,166399,832,78192,0.07430728027247824
