time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
55255,39.21,960,1.2661510367471862,265,0.07,22624,0.2505019661039114
56175,45.03,970,1.4341338116039142,270,0.07,23080,0.19867749698460102
56824,48.69,980,1.5045771894932187,273,0.07,23408,0.26361241936683655
57213,49.08,990,1.5104384663238535,275,0.07,23600,0.28716488974168897
57696,49.88,1000,1.520516277166636,278,0.07,23840,0.2883599568158388
58188,48.35,1010,1.469928998955985,281,0.07,24088,0.2661789581179619
58594,48.32,1020,1.4625311100944953,283,0.07,24296,0.3406641501933336
59029,47.96,1030,1.4492512143606795,286,0.07,24512,0.28542497754096985
59458,48.45,1040,1.4862217887683877,288,0.07,24728,0.2909600925631821
59732,48.26,1050,1.4886707447539345,290,0.07,24864,0.3035651594400406
60013,46.58,1060,1.430218884397159,291,0.07,25000,0.2882771287113428
60419,41.44,1070,1.2938833987232412,294,0.07,25208,0.23687911313027143
60814,38.9,1080,1.266674363392167,297,0.07,25400,0.2743030386045575
61092,37.79,1090,1.2575865518472291,299,0.07,25544,0.2206074297428131
61347,35.51,1100,1.2163661981743112,300,0.07,25672,0.35236677899956703
61636,33.48,1110,1.1767818050879948,302,0.07,25816,0.19157460145652294
62021,33.27,1120,1.1813317939135362,304,0.07,26008,0.22015801956877112
62393,32.64,1130,1.187458729764983,307,0.07,26192,0.19254151778295636
62719,31.61,1140,1.163171653899105,308,0.07,26352,0.31358794309198856
63083,32.51,1150,1.19161964242565,311,0.07,26536,0.28423540480434895
63464,33.51,1160,1.2486301664253094,313,0.07,26728,0.25741895474493504
63763,32.44,1170,1.242277217591325,314,0.07,26880,0.25770453084260225
64018,31.04,1180,1.1819078430318455,316,0.07,27008,0.3167852973565459
64299,31.07,1190,1.182184343334385,317,0.07,27144,0.2434699758887291
64669,32.22,1200,1.2203892313611175,319,0.07,27328,0.18045933521352708
64962,32.26,1210,1.2121841644018918,321,0.07,27480,0.26792340353131294
65203,30.82,1220,1.1785893739199118,322,0.07,27600,0.322617681697011
65591,30.98,1230,1.1634820364100669,324,0.07,27792,0.3226869753561914
65869,30.5,1240,1.1306063572856637,326,0.07,27928,0.31067884410731494
66163,29.8,1250,1.1276169137259289,327,0.07,28080,0.3058757809922099
66783,32.19,1260,1.1855842321720989,331,0.07,28384,0.21749677695333958
67445,35.82,1270,1.2875350519599211,334,0.07,28720,0.33824614621698856
67873,37.55,1280,1.3399476807396256,337,0.07,28936,0.3228227477520704
68405,40.06,1290,1.4115840486598867,340,0.07,29200,0.27194788586348295
69016,42.47,1300,1.4802994980834632,343,0.07,29504,0.2139738816767931
69562,45.0,1310,1.5658064869017094,346,0.07,29776,0.31182368844747543
70216,49.13,1320,1.6696832795191638,350,0.07,30104,0.31827483139932156
70617,49.26,1330,1.6855301398228744,352,0.07,30304,0.3373054936528206
71056,50.87,1340,1.7459332207740514,355,0.07,30520,0.17552883410826325
71347,50.84,1350,1.7213291922787997,356,0.07,30672,0.23716779984533787
71587,47.04,1360,1.5948353683594823,358,0.07,30792,0.37006030790507793
71923,43.78,1370,1.4942049229294896,359,0.07,30960,0.25442343950271606
72202,42.29,1380,1.4643361395442434,361,0.07,31096,0.20057650981470942
72547,40.42,1390,1.4033209270768578,363,0.07,31272,0.2793927825987339
72896,37.8,1400,1.3409224152229127,365,0.07,31440,0.1823372091166675
73226,35.64,1410,1.260099093337586,367,0.07,31608,0.30327870743349195
73684,33.68,1420,1.2272734141672335,369,0.07,31840,0.3803780432790518
74095,33.78,1430,1.229137002799469,371,0.07,32040,0.21460223384201527
74667,35.11,1440,1.2665491616787312,374,0.07,32328,0.31681815162301064
75169,37.22,1450,1.3400857011042493,377,0.07,32584,0.30407943902537227
75493,38.06,1460,1.3879144466505886,379,0.07,32744,0.21195889823138714
75907,38.84,1470,1.3997624808053657,381,0.07,32952,0.29338335851207376
76186,38.84,1480,1.3847747837855777,383,0.07,33088,0.46915991697460413
76604,39.57,1490,1.3987319082517766,385,0.07,33296,0.34460032545030117
76973,39.77,1500,1.3692767994438466,387,0.07,33480,0.22214792133308947
77271,39.45,1510,1.363603893899118,389,0.07,33632,0.25851414911448956
77744,39.6,1520,1.3627337538506534,391,0.07,33864,0.21305010886862874
77990,37.95,1530,1.2999617674113773,393,0.07,33992,0.35550347343087196
78497,37.3,1540,1.2572765366922276,396,0.07,34248,0.2785627436824143
78991,37.22,1550,1.234329505000045,398,0.07,34488,0.35544829815626144
79352,37.59,1560,1.2216521456039942,400,0.07,34672,0.3927902281284332
79726,37.19,1570,1.213379497701389,402,0.07,34856,0.34125198889523745
80025,37.39,1580,1.2280838888894032,404,0.07,35008,0.19977757055312395
80557,38.53,1590,1.290820783412546,406,0.07,35272,0.19910086318850517
80810,37.37,1600,1.262326685225295,408,0.07,35400,0.22570211021229625
81238,38.67,1610,1.318854839229792,410,0.07,35616,0.21577581902965903
81561,37.17,1620,1.2692218818748306,412,0.07,35776,0.3250316781923175
81944,38.54,1630,1.312299887094715,414,0.07,35968,0.36638431437313557
82324,37.27,1640,1.2962112736729425,416,0.07,36160,0.31473853159695864
82835,37.44,1650,1.315828721858708,418,0.07,36416,0.40918154269456863
83222,37.7,1660,1.3215186825262433,420,0.07,36608,0.2628073326777667
83555,37.29,1670,1.3342018189994678,422,0.07,36776,0.23881933861412108
83857,37.32,1680,1.3225376417464638,424,0.07,36928,0.20229311473667622
84129,34.72,1690,1.2235668783466003,426,0.07,37064,0.26895302906632423
84711,38.01,1700,1.3430851397069674,429,0.07,37352,0.2509029544889927
85058,37.2,1710,1.304586145293331,431,0.07,37528,0.23936770297586918
85465,38.04,1720,1.336947750584869,433,0.07,37728,0.293703053612262
86220,41.76,1730,1.4418354674122946,437,0.07,38104,0.3413845896720886
86804,43.8,1740,1.5405841631695754,440,0.07,38400,0.28593642078340054
87284,43.49,1750,1.535067198998448,442,0.07,38640,0.2742502996698022
87586,42.64,1760,1.520256135417444,444,0.07,38792,0.25991547759622335
87939,42.84,1770,1.5280188946240116,446,0.07,38968,0.35006400384008884
88292,43.35,1780,1.5475131031010545,447,0.07,39144,0.3398898020386696
88672,44.43,1790,1.5853966542467368,449,0.07,39328,0.26110048522241414
89276,44.65,1800,1.59446376854854,453,0.07,39632,0.2979084001854062
89647,44.89,1810,1.5837571947781177,455,0.07,39816,0.23079153709113598
90076,45.11,1820,1.5601572567348763,457,0.07,40032,0.2513452908024192
90512,41.92,1830,1.4741205592707367,459,0.07,40248,0.3009042553603649
91073,41.69,1840,1.4328526262219665,462,0.07,40536,0.2337757796049118
91579,41.95,1850,1.445516302095056,465,0.07,40784,0.20935657061636448
91903,42.17,1860,1.4487904879010574,467,0.07,40944,0.35173747316002846
92338,42.99,1870,1.4438953169806834,469,0.07,41168,0.247612344333902
92621,42.29,1880,1.4257163559751709,470,0.07,41304,0.3636295231990516
92939,41.67,1890,1.4216299137423496,472,0.07,41464,0.32720004953444004
93345,39.69,1900,1.3592900182208651,475,0.07,41672,0.27265622466802597
93604,38.57,1910,1.3625071654467211,476,0.07,41800,0.2475705840624869
94024,38.48,1920,1.3830853509781837,479,0.07,42008,0.36274022050201893
94383,37.71,1930,1.3697534542992693,481,0.07,42184,0.21125603537075222
94694,35.21,1940,1.304167073539685,483,0.07,42344,0.2940642982721329
