rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates
74.15,-7.414999999999992,1460,0.07,1041,131907,0.13448099262313917,60952
82.81,-8.280999999999995,1470,0.07,1054,133367,0.04668248846428469,61680
86.48,-8.647999999999996,1480,0.07,1063,134323,0.2278925385326147,62160
83.77,-8.376999999999997,1490,0.07,1070,135163,0.17450548824854195,62576
85.15,-8.514999999999995,1500,0.07,1077,136057,0.16909599280916154,63024
85.46,-8.545999999999998,1510,0.07,1085,136991,0.1978082669666037,63488
86.22,-8.621999999999996,1520,0.07,1091,137704,0.15066409925930202,63848
87.51,-8.750999999999998,1530,0.07,1098,138586,0.13468627352267504,64288
89.48,-8.948,1540,0.07,1106,139514,0.17939647776074708,64752
93.97,-9.396999999999998,1550,0.07,1114,140426,0.08914019452640787,65208
97.81,-9.781000000000002,1560,0.07,1126,141788,0.17910725553520024,65888
100.98,-10.098000000000003,1570,0.07,1141,143565,0.1932225429918617,66776
102.26,-10.225999999999999,1580,0.07,1151,144649,0.13917432189919055,67320
107.24,-10.724,1590,0.07,1162,145987,0.12113293190486729,67992
107.86,-10.786000000000001,1600,0.07,1170,146943,0.2411310262978077,68464
112.04,-11.204,1610,0.07,1181,148295,0.11115659889765084,69144
116.1,-11.610000000000007,1620,0.07,1191,149414,0.1577624031342566,69704
120.41,-12.041000000000006,1630,0.07,1202,150727,0.13449138728901744,70360
121.11,-12.111000000000006,1640,0.07,1210,151725,0.16516480292193592,70856
126.74,-12.674000000000005,1650,0.07,1222,153200,0.200383601593785,71592
131.29,-13.129000000000012,1660,0.07,1237,155017,0.19915786397177726,72504
129.24,-12.92400000000001,1670,0.07,1251,156589,0.1396865982678719,73288
135.94,-13.594000000000019,1680,0.07,1266,158343,0.11631327227223665,74168
135.05,-13.50500000000002,1690,0.07,1277,159592,0.13520394638180733,74792
145.28,-14.52800000000002,1700,0.07,1294,161571,0.10976275778375566,75784
146.9,-14.690000000000023,1710,0.07,1307,163085,0.12246957118622959,76536
145.79,-14.579000000000025,1720,0.07,1316,164093,0.13004815304884687,77040
144.28,-14.428000000000027,1730,0.07,1325,165255,0.12560211610980332,77624
143.49,-14.349000000000025,1740,0.07,1333,166174,0.10714743344578892,78080
141.55,-14.155000000000022,1750,0.07,1343,167455,0.10630542482249439,78720
133.51,-13.351000000000022,1760,0.07,1351,168468,0.13775070465635508,79232
127.94,-12.794000000000016,1770,0.07,1360,169483,0.1613953075138852,79736
121.49,-12.149000000000012,1780,0.07,1369,170592,0.199649860849604,80288
122.12,-12.212000000000014,1790,0.07,1380,171904,0.11631842225324363,80944
113.64,-11.364000000000003,1800,0.07,1390,173035,0.1251353855477646,81512
110.74,-11.074000000000002,1810,0.07,1400,174259,0.1464510911027901,82128
107.24,-10.724,1820,0.07,1405,174917,0.15012994507560506,82456
108.26,-10.826,1830,0.07,1415,176181,0.10764485574327409,83088
106.15,-10.615,1840,0.07,1421,176889,0.1591611998155713,83440
102.63,-10.262999999999998,1850,0.07,1429,177818,0.16148557362612337,83904
103.04,-10.303999999999998,1860,0.07,1437,178872,0.12194669983000495,84432
103.31,-10.331,1870,0.07,1446,179914,0.1067829707171768,84952
105.32,-10.532,1880,0.07,1458,181224,0.18016447499394417,85608
99.7,-9.969999999999997,1890,0.07,1464,181974,0.14943318720906973,85984
98.13,-9.812999999999999,1900,0.07,1473,182948,0.15915652108378708,86472
93.51,-9.350999999999996,1910,0.07,1479,183710,0.16317895345855504,86848
92.15,-9.214999999999996,1920,0.07,1483,184232,0.199797720531933,87112
