rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.42207475000000017,330,90,5.7069401379635645,24857,101.84,0.11800914735067636,7424
0.40121949999999984,340,95,5.8206327543420775,25754,103.2,0.1183316272799857,7872
0.3719710000000003,350,102,6.135170001270007,27012,108.25,0.20410403050482273,8504
0.3330040000000001,360,111,6.739868455847265,28688,119.24,0.13521375297568738,9336
0.3000354999999999,370,119,6.793274238698225,30106,121.28,0.1253853702219203,10048
0.2636725000000001,380,128,6.923950807135618,31670,124.84,0.13929782778723165,10832
0.23809749999999985,390,134,7.013767487722797,32770,127.45,0.14100879803299904,11384
0.20540799999999992,400,142,7.147314617079851,34176,132.46,0.14263293985277414,12080
0.18536650000000032,410,147,6.580635168795585,35038,124.45,0.2701967526227236,12512
0.14068000000000025,420,157,6.8136714879051565,36960,131.68,0.068863198364852,13472
0.10957150000000038,430,165,6.800769726958126,38298,133.41,0.1201865375333,14144
0.07764924999999978,440,172,6.957502610669692,39671,138.17,0.0963954734033905,14832
0.07,450,183,7.151801599324671,41720,146.08,0.15991056998609565,15856
0.07,460,192,7.019649881551771,43471,146.83,0.10981962498044595,16728
0.07,470,205,7.4831609020026715,45931,157.25,0.09785821597324684,17960
0.07,480,215,7.566498151214989,47797,160.27,0.058508970483671874,18896
0.07,490,227,8.033588186626949,49915,170.45,0.10050151054747403,19952
0.07,500,237,8.287689899862453,51861,175.85,0.11225577123695984,20928
0.07,510,250,9.069912179155029,54357,192.19,0.14449643465923145,22176
0.07,520,261,9.090918626104688,56346,192.86,0.11498445871984586,23168
0.07,530,272,9.435160320573498,58418,200.2,0.10212620251695625,24208
0.07,540,286,10.058702699029169,61090,213.19,0.07392460780101828,25544
0.07,550,298,10.283631591966458,63478,216.58,0.11905638768803328,26736
0.07,560,309,10.493688866503613,65576,220.05,0.10235939986887388,27784
0.07,570,319,10.193491785639026,67501,214.7,0.06311682087834924,28744
0.07,580,331,10.32267978545108,69662,217.65,0.10474568605422974,29824
0.07,590,337,9.828464445780774,70786,207.71,0.07556238101096824,30392
0.07,600,340,9.224927670266553,71496,195.35,0.060298490745481104,30744
0.07,610,345,8.400639544824772,72314,178.57,0.10584671178366989,31152
0.07,620,347,7.672638191270802,72833,163.87,0.10566036269301549,31416
0.07,630,354,7.209906088294924,74157,156.39,0.10626361385220662,32072
0.07,640,359,6.307466613245311,75068,138.78,0.11876536763156764,32528
0.07,650,369,5.9690730360603315,76892,133.14,0.06280828057788312,33440
0.07,660,377,5.72129025821999,78467,127.91,0.09257192796212621,34232
0.07,670,383,5.360315602530351,79648,120.47,0.04620987214730121,34816
0.07,680,389,4.774980377455027,80595,108.33,0.13528812318691052,35296
0.07,690,401,5.344675439863349,82975,120.89,0.06240661285119131,36480
0.07,700,411,5.883648525225558,84867,132.71,0.07822815424879082,37432
0.07,710,422,6.4406408730672045,86917,145.03,0.060142530186567456,38456
0.07,720,435,7.348881258055764,89303,163.7,0.10682864478440024,39648
0.07,730,447,7.900023568091779,91621,173.64,0.07885244104545563,40808
0.07,740,457,8.402798642030026,93538,183.7,0.10899848389090039,41768
0.07,750,469,8.548634260757112,95703,187.11,0.10869487570016645,42848
0.07,760,480,8.715443285435464,97828,192.61,0.06328818071051501,43912
0.07,770,491,8.929481861703833,99762,200.14,0.06354138333699666,44880
0.07,780,496,8.995922413108342,100856,201.61,0.06353829344152473,45424
0.07,790,501,8.233585884443457,101643,185.68,0.07944467816560064,45816
0.07,800,507,7.848978394186952,102836,178.69,0.10787262109806761,46416
0.07,810,517,7.751642281647564,104725,177.08,0.07853602693649009,47360
0.07,820,522,7.020541241783687,105603,162.0,0.10925135319121182,47800
0.07,830,526,6.327127991636928,106464,147.43,0.06308790054754354,48224
0.07,840,533,5.979302101598737,107667,140.29,0.017979136755457148,48832
0.07,850,539,5.5260940587525935,108735,129.32,0.04936656383506488,49360
0.07,860,548,5.400916661011104,110538,126.1,0.1413226006407058,50264
0.07,870,555,5.155715493025408,111828,119.66,0.1416197272919817,50912
0.07,880,563,5.289760638720481,113373,124.17,0.049261765205301344,51680
