time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
68034,2630,0.07,0.5649775479090564,15.4,349,0.1779448464512825,29016
68232,2640,0.07,0.5729095043009594,15.64,351,0.186612818390131,29112
68423,2650,0.07,0.5891372965163362,16.08,352,0.18989258259534836,29208
68579,2660,0.07,0.5913141060034539,16.03,353,0.1847479734569788,29288
68737,2670,0.07,0.5845012133310916,16.01,354,0.1603085622191429,29368
68937,2680,0.07,0.5975379106047212,16.47,355,0.18320397846400738,29464
69115,2690,0.07,0.5819932631670897,16.23,356,0.19678394868969917,29552
69280,2700,0.07,0.5860044895194143,16.32,357,0.1682298667728901,29632
69486,2710,0.07,0.6044332727308016,16.54,358,0.16700368747115135,29736
69632,2720,0.07,0.6064683104147195,16.59,359,0.15980766154825687,29808
69805,2730,0.07,0.6125746494476675,16.71,360,0.1580257061868906,29896
69985,2740,0.07,0.6076263327231044,16.53,361,0.16639580763876438,29992
70169,2750,0.07,0.6030544126912906,16.46,362,0.17845119535923004,30080
70336,2760,0.07,0.6138681892541278,16.57,363,0.17898752726614475,30160
70524,2770,0.07,0.6294963904961124,16.87,364,0.1745990812778473,30256
70701,2780,0.07,0.6184762462385632,16.64,365,0.17602741532027721,30344
70859,2790,0.07,0.6124051570567206,16.44,366,0.16597209312021732,30424
71032,2800,0.07,0.6219677211026964,16.52,367,0.14430148620158434,30512
71226,2810,0.07,0.6128995560073232,16.4,368,0.14824697375297546,30608
71385,2820,0.07,0.6275338101879757,16.53,369,0.15467484295368195,30688
71543,2830,0.07,0.6147489399205827,16.38,370,0.17024006508290768,30768
71706,2840,0.07,0.6024577449772299,16.21,371,0.16568296775221825,30848
71897,2850,0.07,0.612354875920296,16.28,372,0.14754479378461838,30944
72026,2860,0.07,0.5926593827004598,15.9,373,0.15667736530303955,31008
72161,2870,0.07,0.5690798593914422,15.37,374,0.1507584722712636,31080
72323,2880,0.07,0.557915928378678,15.22,375,0.13960277568548918,31160
72506,2890,0.07,0.5707491915796726,15.47,376,0.14278285391628742,31248
72618,2900,0.07,0.5360901595632351,14.86,376,0.13904144521802664,31304
72760,2910,0.07,0.5176556277953488,14.34,377,0.14776356518268585,31376
72942,2920,0.07,0.515165681801825,14.57,378,0.15533559955656528,31464
73081,2930,0.07,0.5084692900940341,14.38,379,0.1387029280886054,31536
73228,2940,0.07,0.5030099288404545,14.22,380,0.14226402528584003,31608
73384,2950,0.07,0.481637908871067,13.87,381,0.1401153514161706,31688
73560,2960,0.07,0.49081062380155144,14.34,382,0.13859180733561516,31776
73735,2970,0.07,0.5173913647506141,14.74,383,0.1448658462613821,31864
73916,2980,0.07,0.5280111493353187,14.93,384,0.12507116235792637,31952
74074,2990,0.07,0.5122246231591394,14.68,385,0.13314932864159346,32032
74238,3000,0.07,0.5383877153290582,15.2,386,0.13880371768027544,32112
74435,3010,0.07,0.5630673545507172,15.75,387,0.1355663686990738,32216
74612,3020,0.07,0.5654523833855201,15.7,388,0.11484570521861315,32304
74778,3030,0.07,0.578637194047145,15.97,389,0.12997130304574966,32384
74962,3040,0.07,0.5951102425565353,16.34,390,0.12868750002235174,32480
75107,3050,0.07,0.5866414566811887,16.23,391,0.13480504974722862,32552
75322,3060,0.07,0.6233233277173598,16.62,392,0.1067337617278099,32656
75493,3070,0.07,0.6110992894651094,16.58,393,0.12747449707239866,32744
75678,3080,0.07,0.6099208628836079,16.62,394,0.11794585734605789,32832
75837,3090,0.07,0.6083733077514424,16.63,395,0.1049637459218502,32912
75985,3100,0.07,0.6011683221852874,16.47,396,0.11794039886444807,32992
76137,3110,0.07,0.5731252670036213,16.02,397,0.11458107549697161,33064
76308,3120,0.07,0.5693306033762623,15.96,398,0.11770139541476965,33152
76467,3130,0.07,0.5706097046669598,15.89,399,0.10737640224397182,33232
76646,3140,0.07,0.5702414191581271,15.84,400,0.10758014023303986,33320
76812,3150,0.07,0.5797245640706491,16.05,401,0.10849807038903236,33400
76974,3160,0.07,0.5488871633335167,15.52,402,0.11759163998067379,33480
77153,3170,0.07,0.5615960012965298,15.6,403,0.09952524863183498,33576
77294,3180,0.07,0.542563907310615,15.16,404,0.11342647671699524,33640
77474,3190,0.07,0.5525644183177063,15.37,405,0.10457270871847868,33736
77693,3200,0.07,0.5822362207315583,16.08,406,0.12041474413126707,33840
77858,3210,0.07,0.59578790842906,16.21,407,0.09765944723039865,33928
78030,3220,0.07,0.6021108355940639,16.22,408,0.10582117177546024,34008
78230,3230,0.07,0.6163911725587561,16.63,409,0.09381241630762815,34112
78401,3240,0.07,0.6144630656277851,16.55,410,0.10153125133365393,34200
78552,3250,0.07,0.606616433824867,16.4,411,0.09684033785015345,34272
78728,3260,0.07,0.6146894520506195,16.54,412,0.09887420758605003,34360
78881,3270,0.07,0.6067725662055723,16.28,413,0.09179396461695433,34440
79041,3280,0.07,0.6162024187918884,16.47,414,0.09621993731707335,34520
79190,3290,0.07,0.5993645520274359,16.16,415,0.09743055049329996,34592
79380,3300,0.07,0.5831644852478571,15.87,416,0.09042798262089491,34688
79528,3310,0.07,0.5759395535406142,15.7,417,0.09522796794772148,34760
79658,3320,0.07,0.5526224749791403,15.28,417,0.094608542509377,34824
79804,3330,0.07,0.5300999361913294,14.74,418,0.10089840367436409,34896
79954,3340,0.07,0.5109112171100791,14.53,419,0.09562054742127657,34976
80089,3350,0.07,0.4992552660859886,14.37,420,0.09487739577889442,35040
80262,3360,0.07,0.49266640504433856,14.34,421,0.09218316525220871,35128
80427,3370,0.07,0.48438201509200857,14.46,422,0.08527505258098245,35208
80604,3380,0.07,0.4889969775714199,14.63,423,0.08401833986863494,35296
80740,3390,0.07,0.4893951008234027,14.5,424,0.09298082999885082,35368
80893,3400,0.07,0.4726230454094585,14.13,425,0.09130289033055305,35440
81030,3410,0.07,0.46124620054201165,14.02,425,0.08220409415662289,35512
81165,3420,0.07,0.4557121141231182,14.07,426,0.08564069587737322,35576
81328,3430,0.07,0.4627628769537266,14.24,427,0.09762223437428474,35656
81525,3440,0.07,0.47963016068752756,14.71,428,0.07945252116769552,35760
81687,3450,0.07,0.497731850954479,14.98,429,0.07195124682039022,35840
81874,3460,0.07,0.5070457407471072,15.12,430,0.0804577637463808,35936
