time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
510,-12.750022167304973,992,135014,256.17,0.07,62504,0.023763015429722145
520,-12.292792409053016,1009,137316,249.88,0.07,63656,0.028554820073622977
530,-12.417537472338687,1028,139853,249.96,0.07,64920,0.013703124452149495
540,-12.530530660357126,1050,142777,255.99,0.07,66384,0.03095014812424779
550,-12.429183978930334,1070,145507,256.64,0.07,67752,0.0449503676572931
560,-12.565324040850992,1090,148134,259.17,0.07,69064,0.016369925186154433
570,-12.04789419567664,1109,150746,255.29,0.07,70368,0.020652896317187697
580,-11.539423825756913,1119,152170,247.0,0.07,71080,0.010770957560453098
590,-11.851334497504611,1140,154942,253.92,0.07,72464,0.027606641888269223
600,-11.7690461313505,1160,157658,252.64,0.07,73824,0.031060719469678588
610,-11.625946546016824,1179,160228,251.14,0.07,75112,0.018402663670713082
620,-11.85775465514717,1199,162929,255.13,0.07,76464,0.04282824564143084
630,-11.94787745573289,1219,165697,257.44,0.07,77848,0.035303274606121704
640,-12.192992263044006,1240,168495,256.18,0.07,79240,0.05349134776042774
650,-12.140207533655087,1260,171163,255.56,0.07,80576,0.06290002940659178
660,-12.064845438476732,1280,173927,256.93,0.07,81960,0.044225841062143445
670,-12.141795974979976,1299,176457,256.11,0.07,83224,0.024356510657526087
680,-13.17260752891292,1319,179273,270.03,0.07,84632,0.05864646066038404
690,-13.488812844550615,1340,182046,270.04,0.07,86016,0.031246533180819824
700,-13.529724015567822,1360,184813,270.55,0.07,87400,0.040297158891917206
710,-13.35815592192226,1375,186847,265.19,0.07,88416,0.033796007970522624
720,-13.673875087405973,1394,189510,264.81,0.07,89752,0.08107954308798071
730,-13.323147522002118,1411,191768,259.71,0.07,90880,0.024913180473959073
740,-13.225253761997182,1430,194339,257.44,0.07,92168,0.05081760650500655
750,-13.26876933353795,1448,196753,254.9,0.07,93376,0.036789212565054186
760,-13.181463834555698,1465,199011,249.84,0.07,94504,0.05046381859574467
