rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,940,197.29,865,119265,6.3015853760306335,54632,0.07994770962977782
0.07,950,187.06,874,120401,6.001062516606969,55200,0.07777718963916413
0.07,960,165.34,879,120981,5.240357177684194,55488,0.1500919745885767
0.07,970,145.53,885,121705,4.667312314354712,55848,0.047809782467084005
0.07,980,128.37,892,122601,4.101034787708809,56296,0.077168604140752
0.07,990,114.89,896,123160,3.724730315411594,56576,0.03386373713146895
0.07,1000,102.74,902,123921,3.456695467990408,56960,0.1515234516118653
0.07,1010,96.69,910,124896,3.3837408639027795,57440,0.04923895149840973
0.07,1020,88.35,913,125297,3.194677947468595,57648,0.047154607134871185
0.07,1030,74.45,919,125951,2.9179516149978544,57968,0.13732660622918047
0.07,1040,73.83,925,126748,2.981826790203597,58368,0.07528106332756579
0.07,1050,68.64,930,127365,2.764285548432655,58680,0.11795668303966522
0.07,1060,70.41,936,128122,2.8715283015494206,59056,0.07636405839002691
0.07,1070,69.98,941,128803,2.8600539662726514,59400,0.15089951956178993
0.07,1080,67.71,947,129472,2.7609366986151347,59728,0.09251860488438979
0.07,1090,68.45,952,130105,2.804878590778788,60048,0.16323745681438595
0.07,1100,68.75,958,130896,2.7587848893055638,60440,0.060896025359397754
0.07,1110,70.39,967,132035,2.840254993734454,61016,0.07840247376589105
0.07,1120,74.85,974,132882,3.015605690445457,61440,0.10521283996058628
0.07,1130,78.12,981,133863,3.1484980997468033,61928,0.12028687738347799
0.07,1140,78.3,988,134678,3.1573990522468747,62336,0.11611103609902784
0.07,1150,80.53,995,135518,3.237282346418251,62752,0.04791767711867578
0.07,1160,81.65,1002,136387,3.2755468828227743,63192,0.08999225709703751
0.07,1170,85.15,1010,137418,3.4536596300610296,63704,0.10546427126973867
0.07,1180,92.42,1021,138814,3.792463649826303,64400,0.087842297332827
0.07,1190,95.41,1028,139746,3.9148620680851294,64872,0.133927603950724
0.07,1200,100.96,1039,141092,4.186031681772984,65544,0.1622074395418167
0.07,1210,97.47,1046,141882,4.0106508623291255,65936,0.048615507170325145
0.07,1220,99.43,1054,142925,4.1549332987518985,66456,0.14886016104719602
0.07,1230,96.4,1059,143603,4.038193152664126,66800,0.11792456428520381
0.07,1240,96.38,1066,144416,4.0240821256870865,67200,0.13079116484732367
0.07,1250,97.22,1073,145340,4.069411912932969,67664,0.07578499711235054
0.07,1260,96.11,1079,146098,4.065899158471384,68048,0.06133253633743152
0.07,1270,95.44,1087,147062,4.018385016499535,68528,0.033018671587342396
0.07,1280,89.12,1093,147826,3.729836792462292,68912,0.046609219833044335
0.07,1290,87.92,1099,148638,3.7014838061556525,69312,0.11471378649002872
0.07,1300,84.34,1107,149626,3.491674351664289,69808,0.10599494283087552
0.07,1310,82.63,1112,150245,3.458728810787089,70120,0.1316377151524648
0.07,1320,79.58,1118,150983,3.256522672420688,70488,0.14255519275320694
0.07,1330,80.52,1124,151755,3.2718561076112964,70872,0.08835081406868994
0.07,1340,79.79,1130,152495,3.237980935985015,71240,0.04572572943288833
0.07,1350,80.42,1138,153482,3.2481620771793134,71736,0.1585364602797199
0.07,1360,82.09,1145,154407,3.2721581713556565,72200,0.11598017788492143
0.07,1370,82.83,1154,155445,3.3031321969686886,72720,0.18407540282350965
0.07,1380,93.04,1168,157230,3.7435497215506515,73608,0.08586429027491249
0.07,1390,103.54,1183,159092,4.158382384502861,74544,0.08575732045574114
0.07,1400,114.58,1198,161184,4.684525047811209,75584,0.13046487589599565
0.07,1410,128.02,1213,163147,5.236721658836339,76568,0.10166217276128009
0.07,1420,143.18,1230,165401,5.962064882579613,77696,0.08867011059192009
0.07,1430,150.8,1243,166935,6.30314415439916,78464,0.12510471238056198
0.07,1440,161.65,1257,168760,6.806326577041001,79376,0.07306693855207413
0.07,1450,161.49,1265,169731,6.825527671495411,79864,0.0603092786623165
0.07,1460,174.51,1283,171958,7.404084073749048,80976,0.18066507764160633
0.07,1470,180.71,1296,173616,7.633150559231374,81800,0.08724958301172592
0.07,1480,174.86,1304,174816,7.406315255517629,82400,0.11650453478796408
0.07,1490,172.23,1317,176415,7.291218385374558,83200,0.11771654849871993
0.07,1500,166.38,1329,177922,7.060132087745447,83960,0.08791201616986655
0.07,1510,161.46,1340,179393,6.865960647733824,84696,0.059136075142305344
0.07,1520,151.41,1350,180642,6.3919211048448945,85320,0.06069150066468865
0.07,1530,145.68,1358,181603,6.158189917938358,85800,0.07383821808616631
0.07,1540,149.86,1375,183846,6.352564314508152,86920,0.04611510853283107
0.07,1550,165.0,1393,186331,7.0395847835199845,88160,0.11553418077528477
0.07,1560,157.02,1404,187760,6.721013466648668,88872,0.08555623114807531
0.07,1570,150.29,1411,188745,6.482298255767164,89368,0.04492699835100211
0.07,1580,151.88,1422,190104,6.509983914803607,90048,0.10365892961272039
0.07,1590,153.44,1436,191859,6.551492260638509,90928,0.08707432213122956
0.07,1600,149.98,1446,193020,6.38593430397829,91504,0.1148580806911923
0.07,1610,152.03,1459,194696,6.421045569090897,92344,0.06941719260066748
0.07,1620,157.3,1474,196472,6.5458391314492,93232,0.11553854963858612
0.07,1630,170.09,1491,198712,7.108127727663933,94352,0.11542710254434496
