rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,677,30.19,2510,91449,0.889612079967123,40720,0.4167907927185297
0.07,680,29.14,2520,91817,0.8504617574461567,40904,0.36636459827423096
0.07,683,28.35,2530,92084,0.8317163857312895,41040,0.437935434281826
0.07,685,27.96,2540,92346,0.8298031782054871,41168,0.3144840085878968
0.07,688,28.45,2550,92713,0.8383739789161463,41352,0.514482032507658
0.07,690,29.28,2560,92998,0.864582882339066,41496,0.22574079397600144
0.07,696,32.64,2570,93667,0.9485544615016148,41832,0.22536938753910363
0.07,697,32.02,2580,93886,0.9368118435594198,41936,0.4399102609604597
0.07,699,30.71,2590,94094,0.8933613501148652,42040,0.37568097189068794
0.07,702,31.89,2600,94455,0.9110047816198111,42224,0.41653127409517765
0.07,704,31.3,2610,94679,0.9121709264162869,42336,0.3914581499993801
0.07,705,29.47,2620,94864,0.8786305505701029,42424,0.3008570349775255
0.07,708,29.53,2630,95137,0.8807820172164873,42568,0.3293314352631569
0.07,709,28.63,2640,95309,0.8560628419158199,42648,0.2613114973064512
0.07,712,28.15,2650,95628,0.8648614136839342,42808,0.21433691401034594
0.07,713,27.32,2660,95830,0.8584045834838966,42912,0.4184005446732044
0.07,715,22.95,2670,96062,0.748964006084181,43024,0.487800600938499
0.07,717,23.16,2680,96302,0.7617612401594357,43144,0.46420516446232796
0.07,719,22.9,2690,96484,0.757673852837132,43240,0.29044029023498297
0.07,720,21.24,2700,96679,0.7210806536802999,43336,0.37472955975681543
0.07,723,21.82,2710,96961,0.7274938410848645,43480,0.3763096518814564
0.07,725,22.89,2720,97253,0.7476445958004796,43624,0.2637459533289075
0.07,727,21.96,2730,97433,0.7355967487649323,43712,0.3492991616949439
0.07,729,22.48,2740,97657,0.7316699300728713,43824,0.4360646465793252
0.07,730,20.95,2750,97823,0.6889083810779788,43904,0.31369537860155106
0.07,731,20.85,2760,98015,0.6753740476830943,44000,0.37537337047979236
0.07,733,20.38,2770,98200,0.6933606451195716,44096,0.48467095755040646
0.07,735,20.08,2780,98410,0.6691806054058861,44200,0.4838405027985573
0.07,736,19.71,2790,98555,0.655305503359657,44272,0.42321564350277185
0.07,738,19.92,2800,98771,0.6626746626676723,44384,0.4757362622767687
0.07,739,18.65,2810,98926,0.6251906253546261,44456,0.27384945191442966
0.07,741,17.85,2820,99138,0.6150757005657611,44568,0.3216100661084056
0.07,742,17.79,2830,99312,0.6136322115796213,44648,0.4202957786619663
0.07,744,17.68,2840,99525,0.6350087224931013,44760,0.31219692062586546
0.07,746,18.17,2850,99740,0.6564742623140052,44864,0.45222420059144497
0.07,748,18.12,2860,99927,0.6504161897443802,44960,0.4199153259396553
0.07,750,18.62,2870,100162,0.6423814284358389,45080,0.3455113284289837
0.07,752,18.9,2880,100400,0.6652049390798378,45192,0.36090922728180885
0.07,754,20.06,2890,100661,0.7010562696867798,45328,0.4791552945971489
0.07,755,19.61,2900,100832,0.6852162907484127,45408,0.32295413687825203
0.07,757,20.6,2910,101086,0.7349143159541011,45536,0.3701373627409339
0.07,759,20.21,2920,101259,0.7301917156466105,45624,0.4949776567518711
0.07,762,21.84,2930,101596,0.7921122608413483,45792,0.34867030661553144
0.07,763,21.63,2940,101788,0.7717576325931975,45888,0.35941507387906313
0.07,765,21.15,2950,101955,0.7447788546342862,45976,0.43473607674241066
0.07,767,22.23,2960,102250,0.7706202935958771,46120,0.3835416667861864
0.07,769,21.91,2970,102453,0.77337194395674,46224,0.5438383035361767
0.07,771,22.32,2980,102732,0.7719436687363388,46360,0.34267046116292477
