time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
1090,150,15.33,35643,0.17130025000000004,0.5717600398336564,12816,0.3433601912111044
1100,151,14.9,35755,0.16869625,0.5495482049458567,12872,0.20757549814879894
1110,152,15.16,35931,0.16460425,0.559174234623588,12960,0.2294395500794053
1120,153,14.38,36059,0.16162825000000014,0.5132031394551188,13024,0.31700799614191055
1130,154,15.07,36261,0.15693174999999993,0.5477564741794285,13128,0.28077506087720394
1140,155,14.78,36417,0.15330474999999977,0.5272912202750049,13208,0.24114526435732841
1150,155,14.56,36551,0.15018925000000016,0.5234742588031729,13272,0.27585028298199177
1160,156,14.23,36692,0.14691100000000024,0.5034147707967945,13344,0.29728168807923794
1170,157,14.45,36869,0.1427957500000001,0.5107660737649621,13432,0.3973397985100746
1180,158,13.7,36960,0.14068000000000025,0.4755394123475707,13472,0.28312505409121513
1190,159,13.78,37121,0.13693675000000005,0.4814258177985803,13560,0.22223801165819168
1200,160,14.46,37301,0.13275174999999995,0.5163206114123483,13648,0.2839982211589813
1210,161,14.41,37472,0.12877600000000033,0.5221314121411289,13728,0.3191690817475319
1220,161,14.28,37587,0.1261022500000003,0.5156671361340299,13792,0.3466769903898239
1230,162,13.09,37670,0.12417250000000002,0.46340908366463823,13832,0.28203961811959743
1240,163,13.08,37825,0.12056875000000022,0.47188164185608605,13912,0.25597696006298065
1250,164,13.23,37974,0.11710450000000028,0.48337012040909927,13984,0.27288205549120903
1260,165,13.49,38141,0.11322175000000001,0.5018098492212735,14064,0.28179860673844814
1270,165,13.15,38284,0.10989699999999991,0.48004242186944124,14136,0.3030415941029787
1280,166,13.82,38442,0.10622350000000014,0.5052006823456022,14216,0.2701019812375307
1290,167,13.6,38581,0.10299175000000016,0.490442300396226,14288,0.2599072065204382
1300,168,13.38,38739,0.09931825000000027,0.4788654326690541,14368,0.24103830754756927
1310,169,13.11,38883,0.09597025000000003,0.4715572274648279,14440,0.26357494108378887
1320,170,13.62,39049,0.09211075000000013,0.5055925164999477,14520,0.29169552586972713
1330,171,14.48,39218,0.08818150000000025,0.543879008363022,14608,0.2955542840063572
1340,172,14.29,39354,0.08501950000000003,0.5329268592962044,14672,0.3421655334532261
1350,173,13.91,39465,0.08243875000000023,0.5131429607777086,14728,0.28936671279370785
1360,173,13.46,39587,0.07960225000000032,0.4972844702196278,14792,0.31375267542898655
1370,174,13.51,39735,0.0761612500000004,0.5009392674123645,14864,0.24125543795526028
1380,175,13.39,39881,0.07276674999999977,0.5003094599700613,14936,0.28632006980478764
1390,176,13.09,39990,0.07023250000000036,0.4822732697679721,14992,0.32099143229424953
1400,176,12.64,40103,0.07,0.4602819438836805,15048,0.2866163160651922
1410,177,12.44,40227,0.07,0.4412252821020378,15112,0.29221354983747005
1420,178,12.2,40369,0.07,0.42322682559084257,15184,0.32880002819001675
1430,179,12.3,40548,0.07,0.4229964259294864,15272,0.326474254950881
1440,180,12.49,40703,0.07,0.4307665326442098,15344,0.2948260549455881
1450,181,12.61,40826,0.07,0.43104911144304514,15408,0.3099543172866106
1460,181,12.87,40974,0.07,0.43998945736086653,15480,0.3076523058116436
1470,182,12.88,41123,0.07,0.4488245417657595,15560,0.26172705367207527
1480,183,12.72,41253,0.07,0.44289436752215705,15624,0.34430917352437973
1490,184,13.05,41395,0.07,0.45640384782483606,15696,0.3034070320427418
1500,185,13.12,41515,0.07,0.4598104185718852,15752,0.30362974666059017
1510,186,13.52,41679,0.07,0.48892509725178324,15832,0.2527598664164543
