rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
3.214834905439419,290,94,67.02,0.40008025000000014,25803,7896,0.17874151188880205
3.023165769624793,300,97,62.65,0.3875717500000002,26341,8168,0.16156635247170925
2.9300711631993046,310,100,60.54,0.3742960000000001,26912,8448,0.1644307216629386
2.9777208380570874,320,104,61.39,0.357742,27624,8808,0.12786083458922803
2.8942098106160596,330,106,59.86,0.3487210000000003,28012,9000,0.14374285889789462
2.745088548966118,340,108,56.93,0.3401882500000002,28379,9184,0.17269016220234334
2.6381978222125957,350,111,54.37,0.3284237499999999,28885,9440,0.1610970851033926
2.5978202584014345,360,114,53.48,0.31791475000000025,29337,9664,0.16158895660191774
2.491407278164334,370,116,51.65,0.30777774999999996,29773,9880,0.19028925662860274
2.4264212505826857,380,119,50.82,0.29587374999999994,30285,10136,0.12745149107649922
2.3122195556888716,390,121,48.08,0.28596925000000006,30711,10352,0.19998837122693658
2.2876168409572193,400,124,47.92,0.27383275000000007,31233,10616,0.13701259111985564
2.3027194178108505,410,128,48.58,0.25902250000000016,31870,10928,0.22163382219150662
2.2825323887372715,420,132,48.13,0.24351475000000022,32537,11264,0.1686110938899219
2.3787231946839724,430,135,50.6,0.22875100000000004,33172,11584,0.13683502050116658
2.4175383446641328,440,138,51.65,0.217777,33644,11816,0.12776417890563607
2.431679861403183,450,141,52.66,0.20366425000000032,34251,12120,0.10924487677402794
2.4863334492729563,460,145,54.59,0.18866800000000028,34896,12440,0.15320870862342417
2.455842234506938,470,147,54.38,0.17901924999999996,35311,12648,0.1979974345304072
2.511708745718808,480,151,55.55,0.16439500000000018,35940,12968,0.16251375572755933
2.7012756134451483,490,155,60.56,0.14284224999999995,36867,13432,0.19101476320065558
2.839553221624031,500,160,64.64,0.12121975000000029,37797,13896,0.1067690288182348
2.9107974516176887,510,165,67.3,0.10022500000000001,38700,14344,0.1803960723336786
3.324032980820812,520,175,79.44,0.07,40581,15288,0.17218791460618377
3.4379195167292647,530,180,83.83,0.07,41655,15824,0.1608372782357037
3.476994420304884,540,184,86.24,0.07,42368,16176,0.21478843851946294
3.575460991152027,550,189,89.87,0.07,43338,16664,0.13794073555618525
3.438610830801321,560,191,87.32,0.07,43728,16856,0.1165776182897389
3.5915724976287358,570,196,92.98,0.07,44709,17352,0.23750972538255155
3.6290475326952936,580,202,96.15,0.07,45655,17824,0.24655878846533597
3.416324670220116,590,205,92.42,0.07,46209,18104,0.20703620743006468
3.291135901773958,600,208,89.77,0.07,46874,18432,0.2089853952638805
3.1089657898433107,610,211,85.81,0.07,47381,18688,0.3240858889184892
2.560379975226764,620,213,71.68,0.07,47849,18920,0.11419162317179143
2.39075573290704,630,216,66.95,0.07,48450,19224,0.19635973870754242
2.39259361005566,640,220,67.05,0.07,49173,19584,0.15450870292261243
2.2669013177606554,650,223,63.43,0.07,49781,19888,0.24943404900841415
2.275093911232654,660,226,63.77,0.07,50205,20096,0.14496211044024676
2.1468746480554124,670,229,59.76,0.07,50785,20392,0.30009803362190723
2.0297887599836137,680,231,55.7,0.07,51325,20656,0.16831927630119026
2.030584684945312,690,234,55.44,0.07,51853,20920,0.2423028334742412
2.0109423510672424,700,238,55.18,0.07,52492,21240,0.09758599137421697
2.0833843468499196,710,241,57.35,0.07,53216,21600,0.2067630848614499
2.1491170616959026,720,246,60.78,0.07,54027,22008,0.2711601462215185
2.115367723186086,730,249,60.9,0.07,54640,22312,0.24245389457792044
2.151930250128282,740,255,65.05,0.07,55778,22888,0.19991574913728982
2.299307841111491,750,263,74.76,0.07,57357,23672,0.24401132040657103
2.3441472414747517,760,267,77.09,0.07,58014,24000,0.2876618877053261
2.3250498989191986,770,271,79.1,0.07,58795,24392,0.1879146754508838
2.264819524814658,780,273,77.15,0.07,59140,24568,0.23225143365561962
2.2480644290901526,790,275,76.72,0.07,59625,24808,0.3362471014261246
2.139453994833205,800,277,73.4,0.07,59932,24960,0.08720078144688159
1.9819739679852377,810,278,68.44,0.07,60160,25072,0.23275233805179596
1.8443066852057688,820,280,63.43,0.07,60470,25232,0.1429206260945648
1.74501499278305,830,281,59.65,0.07,60705,25352,0.23329525184817612
