rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss
0.07,299.0,-2.989999999999979,113110,690,1156,51552,0.02299279026919976
0.07,299.0,-2.989999999999979,116110,700,1188,53048,0.027268864563666284
0.07,299.0,-2.989999999999979,119110,710,1220,54552,0.016220437246374786
0.07,299.0,-2.989999999999979,122110,720,1250,56048,0.033197318436577916
0.07,299.0,-2.989999999999979,125110,730,1281,57552,0.02477121603442356
0.07,299.0,-2.989999999999979,128110,740,1311,59048,0.023198081413283944
0.07,299.0,-2.989999999999979,131110,750,1342,60552,0.017299442901276052
0.07,299.0,-2.989999999999979,134110,760,1373,62048,0.03965531103312969
0.07,299.0,-2.989999999999979,137110,770,1403,63552,0.008093532000202686
0.07,299.0,-2.989999999999979,140110,780,1433,65048,0.012766453000949696
0.07,299.0,-2.989999999999979,143110,790,1464,66552,0.014379490166902542
0.07,299.0,-2.989999999999979,146110,800,1495,68048,0.01618917401356157
0.07,299.0,-2.989999999999979,149110,810,1526,69552,0.013294279691763222
0.07,299.0,-2.989999999999979,152110,820,1557,71048,0.003932583873393014
0.07,299.0,-2.989999999999979,155110,830,1588,72552,0.005954424355877563
0.07,299.0,-2.989999999999979,158110,840,1618,74048,0.020862091943854466
0.07,298.29,-2.982899999999979,161039,850,1648,75512,0.019915354205295444
0.07,298.29,-2.982899999999979,164039,860,1680,77016,0.00320492142054718
0.07,298.29,-2.982899999999979,167039,870,1710,78512,0.0060974152002017945
0.07,296.79,-2.9678999999999798,169889,880,1740,79944,0.003439321109908633
0.07,296.79,-2.9678999999999793,172889,890,1772,81440,0.00248898625432048
0.07,295.18,-2.95179999999998,175728,900,1803,82856,0.0019602216634666547
0.07,295.18,-2.95179999999998,178728,910,1835,84360,0.0020553342474158853
0.07,295.18,-2.95179999999998,181728,920,1867,85856,0.01035304852121044
0.07,295.18,-2.95179999999998,184728,930,1900,87360,0.0032671496883267537
0.07,295.18,-2.95179999999998,187728,940,1932,88856,0.003618888003984466
0.07,295.89,-2.9588999999999794,190728,950,1965,90360,0.0035795472795143723
0.07,295.89,-2.9588999999999794,193728,960,1996,91856,0.004639066435629502
0.07,295.89,-2.9588999999999794,196728,970,2029,93360,0.0032321829348802567
0.07,297.39,-2.9738999999999796,199728,980,2061,94856,0.004350308212451637
