time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
54584,0.07,19.65,254,0.6605245399056858,1700,22288,0.2702879533171654
54800,0.07,19.95,255,0.6667664282698564,1710,22392,0.2875208556652069
55017,0.07,20.36,256,0.6950762067334963,1720,22504,0.2419554516673088
55255,0.07,20.54,258,0.7037003191075527,1730,22624,0.23333370499312878
55488,0.07,21.52,259,0.7433542751092672,1740,22736,0.2620212361216545
55643,0.07,21.06,260,0.7148643675043033,1750,22816,0.2530176602303982
55835,0.07,20.68,261,0.6772652049638811,1760,22912,0.2527724001556635
56064,0.07,20.28,262,0.6708650142249087,1770,23024,0.2540831584483385
56270,0.07,20.54,263,0.6920679882205529,1780,23128,0.2540112938731909
56479,0.07,20.49,264,0.6839581807044038,1790,23232,0.2779339123517275
56699,0.07,20.15,266,0.6732283438405672,1800,23344,0.23247608542442322
56956,0.07,20.56,267,0.6824626290302938,1810,23472,0.24064595438539982
57178,0.07,20.61,268,0.6644325131442923,1820,23584,0.2526287194341421
57350,0.07,19.95,269,0.6385824461717179,1830,23672,0.22558226436376572
57538,0.07,19.5,270,0.6370664422485508,1840,23768,0.22988727502524853
57780,0.07,20.37,272,0.6651965239140568,1850,23888,0.2540724594146013
57986,0.07,20.51,273,0.6786488921356739,1860,23992,0.24516400881111622
58310,0.07,21.46,275,0.6996286158482599,1870,24152,0.2375812567770481
58565,0.07,21.95,276,0.7175933223641775,1880,24280,0.22790623642504215
58717,0.07,21.38,277,0.705399314163478,1890,24352,0.2302762195467949
59029,0.07,22.3,279,0.7374585906909976,1900,24512,0.2223546952009201
59239,0.07,21.83,280,0.7185943521283393,1910,24616,0.23714862763881683
59447,0.07,21.69,281,0.7214583651740305,1920,24720,0.21420223452150822
59650,0.07,22.0,282,0.7255201552649023,1930,24824,0.24611291103065014
59929,0.07,22.91,283,0.7234562376395375,1940,24960,0.21773361042141914
60145,0.07,22.65,285,0.7185515791609061,1950,25072,0.23592939786612988
60384,0.07,22.98,286,0.7302431612085827,1960,25184,0.23799035511910915
60575,0.07,21.65,287,0.6963512843032,1970,25280,0.23395383544266224
60818,0.07,21.53,288,0.6877435605365347,1980,25408,0.23846174776554108
61067,0.07,22.5,290,0.7175458122757707,1990,25528,0.2534382492303848
61296,0.07,21.67,291,0.695734381607735,2000,25640,0.2181568630039692
61586,0.07,22.47,293,0.7059318322741146,2010,25792,0.23134636878967285
61821,0.07,22.74,294,0.709854186191161,2020,25904,0.21446206606924534
62113,0.07,23.63,296,0.7299656940115264,2030,26056,0.23407176695764065
62332,0.07,23.03,297,0.7266513580497767,2040,26160,0.21579709462821484
62584,0.07,23.39,298,0.7394649793971035,2050,26288,0.222018389031291
62783,0.07,22.99,299,0.7221136606195789,2060,26384,0.21881292760372162
63021,0.07,23.46,301,0.7310522768956838,2070,26504,0.20556182228028774
63239,0.07,23.21,302,0.7056612656519483,2080,26616,0.21435405686497688
63531,0.07,23.64,304,0.7180948295894942,2090,26760,0.21901914849877357
63765,0.07,23.69,305,0.7184667184711906,2100,26880,0.21081248298287392
64043,0.07,23.57,306,0.7296635576550178,2110,27016,0.2183081153780222
64289,0.07,23.68,308,0.7362030026130024,2120,27144,0.22643811255693436
64463,0.07,22.5,309,0.7149473308861328,2130,27224,0.18263504654169083
64653,0.07,22.21,310,0.7127983269011448,2140,27320,0.2115709912031889
64859,0.07,21.75,311,0.7042781435297971,2150,27424,0.21323104202747345
65058,0.07,21.75,312,0.7015305873481041,2160,27528,0.2063245978206396
65236,0.07,21.15,313,0.6899627916660138,2170,27616,0.20920436456799507
65477,0.07,21.38,314,0.7189716353359789,2180,27736,0.19252463430166245
65641,0.07,20.1,315,0.678139702982887,2190,27816,0.21305367909371853
65897,0.07,20.32,317,0.6818726636020851,2200,27944,0.19422000832855701
66094,0.07,19.51,318,0.652009050177995,2210,28040,0.20869450084865093
66269,0.07,18.8,319,0.6159535346381998,2220,28128,0.19695488922297955
66446,0.07,18.83,320,0.6186498683192927,2230,28216,0.19322638772428036
66662,0.07,19.09,321,0.6197750362244201,2240,28328,0.19725948385894299
66890,0.07,19.31,323,0.6152439819334958,2250,28440,0.19861016049981117
