rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/loss,train/n_updates
0.07,211.16633852536165,740,1485,288.69,165170,2.292238011956215,77584
0.07,210.62285871293832,750,1512,288.69,168170,1.9849214255809784,79080
0.07,207.25884938766112,760,1538,287.22,171023,3.8144633173942566,80504
0.07,199.48085055023384,770,1563,285.85,173778,2.381830185651779,81888
0.07,196.85366086066023,780,1587,283.31,176524,2.8895757645368576,83256
0.07,196.68072488298276,790,1613,284.45,179414,4.410048216581345,84704
0.07,194.75958477105388,800,1639,284.26,182228,3.289019927382469,86112
0.07,197.00636019862694,810,1665,285.01,185094,2.7205380499362946,87544
0.07,197.84143869055265,820,1690,284.66,187948,3.7198782563209534,88968
0.07,199.70059923983402,830,1716,285.21,190828,3.168519079685211,90408
0.07,202.991884535866,840,1741,283.45,193615,3.3913607001304626,91800
