rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-1.7209538296185047,1050,386,43.5,0.07,80495,35240,0.07427878177259117
-1.8040045426078226,1060,389,45.77,0.07,81100,35544,0.08566279569640756
-1.9832884365738375,1070,394,50.89,0.07,81966,35976,0.07051216915715486
-1.981190323507077,1080,396,50.81,0.07,82354,36176,0.0901945661753416
-2.038401171910161,1090,399,52.02,0.07,82928,36456,0.08807056862860918
-2.150336086440869,1100,403,54.93,0.07,83740,36864,0.08069675613660365
-2.2201759367714695,1110,406,56.87,0.07,84348,37168,0.07533947448246181
-2.3313991281529507,1120,410,59.68,0.07,85143,37568,0.0614438148913905
-2.476332912265524,1130,414,63.78,0.07,85936,37960,0.12215244211256504
-2.3981215631898074,1140,417,61.47,0.07,86328,38160,0.11906434746924788
-2.3745739511329784,1150,419,61.42,0.07,86737,38368,0.08611758821643889
-2.278269142732574,1160,421,59.22,0.07,87122,38560,0.12527639139443636
-2.09739020805201,1170,423,54.17,0.07,87483,38736,0.09378325310535729
-2.059792437983889,1180,424,53.02,0.07,87756,38872,0.11341526079922915
-2.0726947765495916,1190,427,52.59,0.07,88287,39136,0.08027307828888297
-1.8857501120291136,1200,429,47.5,0.07,88590,39288,0.10020258324220777
-2.012840112002513,1210,432,47.75,0.07,89223,39608,0.10385073395445943
-1.8601198419006828,1220,434,43.9,0.07,89633,39816,0.1164514182601124
-1.7219390912686685,1230,437,39.96,0.07,90032,40008,0.08705491665750742
-1.6594405063959927,1240,438,38.16,0.07,90244,40120,0.13762927171774209
-1.6493911835850463,1250,440,37.99,0.07,90636,40312,0.08886834373697639
-1.6793237214360106,1260,442,38.71,0.07,91093,40544,0.0961756631731987
-1.793956914871777,1270,446,42.15,0.07,91798,40896,0.08129620598629117
-1.813544669185176,1280,448,42.87,0.07,92143,41064,0.1267357813194394
-1.7825492713469904,1290,451,43.49,0.07,92736,41360,0.07848523778375238
-1.8339361586408416,1300,453,44.52,0.07,93142,41568,0.1267167665064335
-1.6798356152520748,1310,456,43.54,0.07,93677,41832,0.09839086513966322
-1.67984537975559,1320,458,43.89,0.07,94122,42056,0.048014261410571635
-1.6654413380347453,1330,460,43.8,0.07,94512,42248,0.11201450112275779
-1.7263221114142138,1340,462,45.43,0.07,94887,42440,0.06907780398614705
-1.7454008807117949,1350,465,45.77,0.07,95313,42656,0.05290563288144767
-1.8193530716015776,1360,468,47.96,0.07,95989,42992,0.08871538541279733
-1.7853829897056241,1370,472,47.05,0.07,96603,43296,0.08428911934606731
-1.805847231529629,1380,474,47.55,0.07,96998,43496,0.10629807133227587
-1.7356396105203626,1390,476,45.54,0.07,97390,43688,0.0950726866722107
-1.755189492208976,1400,479,46.84,0.07,97926,43960,0.07527295453473926
-1.7914853872148186,1410,482,48.04,0.07,98581,44288,0.11968177277594805
-1.8007280899848208,1420,484,47.16,0.07,98938,44464,0.07639695261605084
-1.8171693086551135,1430,486,46.74,0.07,99286,44640,0.10652969963848591
