rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
1.5049868903009687,607,120965,40.01,1390,0.07,0.15698214143048972,55480
1.3860971234224866,608,121214,36.46,1400,0.07,0.2032277926336974,55600
1.336535972962704,610,121536,35.12,1410,0.07,0.21837478963425383,55760
1.298012055733961,612,121870,34.01,1420,0.07,0.08116932935081422,55928
1.3045468928412498,614,122233,33.19,1430,0.07,0.14058154594385996,56112
1.3235629793312826,616,122613,33.62,1440,0.07,0.18772776052355766,56304
1.3143369132843696,619,123131,33.37,1450,0.07,0.20081879547797143,56560
1.3463397401782606,621,123526,33.87,1460,0.07,0.18608410097658634,56760
1.3353104322658735,623,123900,33.72,1470,0.07,0.12579919770359993,56944
1.3371052277698123,624,124202,33.98,1480,0.07,0.15516208577901125,57096
1.366086539615474,626,124538,34.73,1490,0.07,0.21513036248506978,57264
1.4199919945719233,629,124940,36.26,1500,0.07,0.20100244507193565,57464
1.419873165520455,631,125286,36.5,1510,0.07,0.14009369240375236,57640
1.453292931931732,633,125694,37.24,1520,0.07,0.1997277982882224,57840
1.428497343595032,635,126004,36.71,1530,0.07,0.24453201796859503,58000
1.4110359432176045,637,126311,35.98,1540,0.07,0.21693858841899782,58152
1.3835580299474766,639,126732,35.01,1550,0.07,0.21515521220862865,58360
1.3744380649531762,641,127134,35.08,1560,0.07,0.21392809879034758,58560
1.462881895492639,645,127750,37.5,1570,0.07,0.21305238734930754,58872
1.5880313012619303,647,128223,39.21,1580,0.07,0.21297075250186026,59104
1.6972166596355074,651,128880,42.42,1590,0.07,0.21146635551122017,59432
1.6949565714702197,653,129262,42.22,1600,0.07,0.10841374762821943,59624
1.7345774170364368,656,129756,43.7,1610,0.07,0.16785280755721033,59872
1.7424696055902535,658,130204,44.1,1620,0.07,0.2719644260359928,60096
1.8251204549085351,661,130672,45.68,1630,0.07,0.19514583493582904,60328
1.8815850080764207,663,131094,46.83,1640,0.07,0.18304975336650386,60544
1.914232283696193,666,131547,47.15,1650,0.07,0.25465800520032644,60768
1.9396490051961361,668,131970,47.36,1660,0.07,0.18291273363865912,60984
1.97012498744399,671,132585,47.35,1670,0.07,0.12330346257658675,61288
1.9460140283353107,674,133096,47.73,1680,0.07,0.21070298529230058,61544
1.9508086427923164,677,133704,47.24,1690,0.07,0.19501295033842325,61848
2.048251041870226,680,134332,49.7,1700,0.07,0.22415336786070839,62160
2.068402129505198,683,134865,50.09,1710,0.07,0.19384847063338384,62432
2.148928119164182,687,135524,52.2,1720,0.07,0.18091439444106072,62760
2.1151335057887977,689,135961,51.89,1730,0.07,0.1658401219174266,62976
2.182042177576064,692,136633,54.39,1740,0.07,0.15170120933908038,63312
2.1775534967172514,695,137127,54.8,1750,0.07,0.19314644095720723,63560
2.2669242592481247,699,137852,57.82,1760,0.07,0.2501821229234338,63920
