rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,1060,81.29,716,101045,-3.6315736592966954,45520,0.1393240464385599
0.07,1070,82.57,723,101973,-3.6252895912069865,45984,0.06540259788744152
0.07,1080,82.65,728,102640,-3.7079720596547094,46312,0.09635892778169364
0.07,1090,82.67,733,103204,-3.7089677574238733,46600,0.03401823533931747
0.07,1100,75.43,736,103540,-3.4430170356118857,46768,0.06240427913144231
0.07,1110,75.85,747,104905,-3.4117611479796404,47448,0.07965925399912521
0.07,1120,83.67,757,106234,-3.730146748669971,48112,0.07782727258745581
0.07,1130,87.05,765,107212,-3.88037519135935,48600,0.08994875109056011
0.07,1140,93.28,775,108501,-4.1480389268832685,49248,0.0731011382304132
0.07,1150,93.4,782,109409,-4.187807236020063,49704,0.08568973036017269
0.07,1160,100.83,796,111228,-4.714927915830259,50608,0.07051257509738207
0.07,1170,103.58,806,112431,-4.9613361217561165,51208,0.07085071550682187
0.07,1180,115.97,821,114337,-5.561385058082112,52168,0.04727977456059307
0.07,1190,137.66,843,117070,-6.620100487237412,53528,0.16353163216263056
0.07,1200,146.19,853,118259,-7.085769542031382,54128,0.17655150406062603
0.07,1210,144.13,862,119418,-7.136475961690413,54704,0.17595313023775816
0.07,1220,144.95,874,120829,-7.232772857690395,55408,0.11466246336931363
0.07,1230,153.32,888,122644,-7.69793656204473,56320,0.07815800845855847
0.07,1240,155.88,901,124189,-7.775910649079426,57088,0.09681197162717581
0.07,1250,164.13,915,125922,-8.176822085490535,57960,0.08516841888194904
0.07,1260,153.66,921,126694,-7.605657180091206,58344,0.10128877725219354
0.07,1270,152.09,930,127740,-7.4403175372723345,58864,0.09982345520984381
0.07,1280,146.06,940,129043,-7.122426031177358,59520,0.11063058313447982
0.07,1290,130.36,950,130206,-6.302553367905777,60096,0.1610362072242424
0.07,1300,133.61,962,131720,-6.3485466676237055,60856,0.08065823803190142
0.07,1310,139.49,976,133467,-6.5751838261408775,61728,0.04133136960444972
0.07,1320,135.86,984,134515,-6.355832061109042,62256,0.0905940801021643
0.07,1330,137.77,1001,136521,-6.478261460498734,63256,0.09856510249665007
0.07,1340,138.99,1014,138188,-6.502476039666971,64088,0.10935588111169636
0.07,1350,137.66,1027,139788,-6.482993365741444,64888,0.06002271483885124
0.07,1360,140.96,1036,140890,-6.701066167492872,65440,0.07198827009415254
0.07,1370,144.24,1047,142264,-6.891974690755137,66128,0.06984819541685283
0.07,1380,143.14,1057,143457,-6.776690658191865,66728,0.04405542730819434
0.07,1390,141.35,1065,144441,-6.786215854462547,67216,0.12655850092414767
0.07,1400,141.59,1077,145979,-6.8194249975277925,67984,0.09064896183554083
0.07,1410,135.35,1086,147102,-6.544308989506605,68544,0.10797528317198157
0.07,1420,133.03,1093,147918,-6.499657742788215,68952,0.11808828567154706
0.07,1430,124.9,1103,149111,-6.134808004540805,69552,0.08140286197885871
0.07,1440,126.45,1118,150933,-6.504790887943684,70464,0.041862171492539346
0.07,1450,126.94,1131,152582,-6.648520691939521,71288,0.1050410050956998
0.07,1460,131.48,1144,154138,-6.917548756460555,72064,0.09625603718450293
0.07,1470,135.17,1158,155881,-7.246567381935154,72936,0.06052396562881768
0.07,1480,134.49,1167,157006,-7.241223962153197,73496,0.08681321030599065
0.07,1490,140.92,1180,158633,-7.522068080223744,74312,0.1254276140825823
0.07,1500,137.44,1189,159823,-7.407353667566281,74904,0.0885039585409686
0.07,1510,148.0,1206,162002,-7.960715026843262,76000,0.07195650471840054
0.07,1520,155.69,1219,163587,-8.325905911421597,76792,0.07642089546425268
