rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.1829717500000001,212,35.45,610,35141,-1.421790181889703,12568,0.1605876372777857
0.1737415,215,34.29,620,35538,-1.3938441794932879,12768,0.16133917775005102
0.16762675000000016,217,33.6,630,35801,-1.3741160158669528,12896,0.15204428881406784
0.15439749999999974,222,36.09,640,36370,-1.4698431862720782,13184,0.1532902354374528
0.14765499999999998,224,34.84,650,36660,-1.421450988731015,13328,0.18695521261543036
0.14240050000000015,226,32.81,660,36886,-1.3480081894715412,13440,0.1697070086374879
0.13558824999999997,228,33.97,670,37179,-1.3894166574791351,13584,0.13500522781396285
0.1295897500000004,231,31.76,680,37437,-1.2905732163062371,13712,0.2007526522502303
0.12112675000000017,234,31.07,690,37801,-1.2595204320132392,13896,0.1783961970359087
0.11384950000000005,236,31.94,700,38114,-1.2718777158468177,14056,0.16648727556457743
0.10808349999999989,238,31.21,710,38362,-1.2501717951378597,14176,0.19259285740554333
0.1001087500000003,241,30.67,720,38705,-1.2163870881720984,14352,0.09932425385341048
0.09601675000000043,243,29.8,730,38881,-1.1744901709066786,14440,0.13183990865945816
0.0875769999999998,246,27.74,740,39244,-1.085594372004661,14616,0.18454404920339584
0.07955574999999993,248,28.29,750,39589,-1.097861274874949,14792,0.1076484564691782
0.07232499999999997,251,29.14,760,39900,-1.1228217862145158,14944,0.1306708967895247
0.07,252,27.85,770,40064,-1.0637825441595035,15024,0.13194200827274472
0.07,254,27.48,780,40285,-1.0503767424118478,15136,0.16516684665111825
0.07,257,26.74,790,40575,-1.0029060966439924,15280,0.17462760477792472
0.07,259,26.44,800,40858,-1.0013612129494756,15424,0.1329526145127602
0.07,262,27.07,810,41169,-1.0138830420777256,15584,0.15903852396877483
0.07,265,27.03,820,41508,-1.0045131638054834,15752,0.20550075359642506
0.07,267,27.52,830,41733,-1.0140433057787925,15864,0.17489324731286615
0.07,269,26.37,840,41981,-0.9705848254215244,15984,0.20158704183995724
0.07,271,25.29,850,42218,-0.9324920145670669,16104,0.2151224655099213
0.07,273,24.79,860,42479,-0.9196089551630173,16232,0.12450523907318711
0.07,275,25.15,870,42679,-0.9437387426114274,16336,0.1294239551643841
0.07,276,24.71,880,42856,-0.9193170032474174,16424,0.21540442388504744
0.07,279,24.37,890,43112,-0.9017328999352766,16552,0.10583106521517038
0.07,283,26.8,900,43638,-0.9739812966621983,16816,0.12974500562995672
0.07,285,26.38,910,43907,-0.942771489590946,16952,0.17943774163722992
0.07,288,26.14,920,44222,-0.930286216172231,17104,0.18877060804516077
0.07,291,27.34,930,44567,-0.9760692849101922,17280,0.16872058977605775
0.07,294,28.16,940,44897,-1.00109837666723,17448,0.20449785143136978
0.07,296,28.49,950,45167,-1.0020850418350795,17576,0.16463626082986593
