rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
-2.1406618193487885,446,90539,55.4,1030,0.07,0.05690486298408359,40264
-2.177632990535487,449,91024,55.69,1040,0.07,0.09692993713542819,40504
-2.358756409228446,454,91889,59.49,1050,0.07,0.07146268675569445,40944
-2.374333455271361,457,92403,60.38,1060,0.07,0.056067701196298,41200
-2.412839638945739,461,93049,60.39,1070,0.07,0.07910912082297727,41520
-2.31985039934053,463,93473,57.24,1080,0.07,0.07617083704099059,41736
-2.165952578544366,466,94052,54.28,1090,0.07,0.07828461355529726,42024
-2.301077390741994,470,94708,57.46,1100,0.07,0.11414885532576591,42352
-2.1731489758889477,472,95082,53.32,1110,0.07,0.11322659277357161,42536
-2.403597771395782,476,95925,58.21,1120,0.07,0.053536989144049585,42960
-2.3928537914349843,479,96373,57.34,1130,0.07,0.07456731027923524,43184
-2.481783500491806,482,96967,58.43,1140,0.07,0.07711773738265038,43480
-2.233667124098931,484,97301,53.12,1150,0.07,0.07972183125093579,43648
-2.169031828540635,486,97619,51.16,1160,0.07,0.11991552449762821,43808
-2.0586249576733753,488,97993,48.44,1170,0.07,0.11248236941173673,43992
-2.0888602001273155,491,98525,49.52,1180,0.07,0.05381946743000299,44256
-2.019270246721773,493,98965,48.13,1190,0.07,0.08966941304970533,44480
-1.9878499726432506,496,99468,46.6,1200,0.07,0.13529888133052737,44728
-1.9910223027514575,498,99875,46.93,1210,0.07,0.05457116547040641,44936
-1.8750246641562784,501,100529,45.04,1220,0.07,0.06878768769092858,45264
-2.136962960779639,507,101683,52.1,1230,0.07,0.10335280792787671,45840
-2.159918394567226,511,102437,53.7,1240,0.07,0.08957258809823543,46216
-2.3733301558992586,516,103316,59.15,1250,0.07,0.04720783780794591,46656
-2.799028181772903,522,104516,67.97,1260,0.07,0.1180908726528287,47256
-3.094461959735435,529,105709,76.16,1270,0.07,0.11103402264416218,47848
-3.2418447083942126,533,106552,79.27,1280,0.07,0.07683323253877461,48272
-3.400226696180025,538,107415,83.5,1290,0.07,0.06936045503243804,48704
-3.3937730941868915,541,108001,84.33,1300,0.07,0.08609107742086053,49000
-3.4122497574683126,543,108402,84.27,1310,0.07,0.07753346743993461,49200
-3.4402191942443356,547,109052,84.23,1320,0.07,0.09907831205055118,49520
-3.161867203698218,549,109487,77.04,1330,0.07,0.07234290475025773,49736
-3.0181359481039465,551,109861,73.24,1340,0.07,0.04389385739341378,49928
-2.872474711495643,554,110384,69.68,1350,0.07,0.0871175192296505,50184
-2.463356289532969,556,110738,61.22,1360,0.07,0.08453154424205422,50368
-2.1583461558330472,558,111117,53.08,1370,0.07,0.10491895116865635,50552
-1.930563042417274,560,111436,47.84,1380,0.07,0.0751362182199955,50712
-1.7468655013627308,562,111772,42.57,1390,0.07,0.11627017357386649,50880
-1.6442449456728163,563,112054,39.53,1400,0.07,0.08593827649019659,51024
-1.627673351669831,566,112403,39.01,1410,0.07,0.08355280896648765,51200
-1.4818712526419506,567,112698,35.46,1420,0.07,0.08744649169966578,51344
-1.415344456651003,569,112987,34.0,1430,0.07,0.13707864214666188,51488
-1.4227445946560224,571,113358,33.97,1440,0.07,0.11206918908283114,51672
-1.3334080941769753,572,113625,31.41,1450,0.07,0.10976673581171781,51808
-1.288993558454096,574,113873,30.35,1460,0.07,0.09240790118928999,51936
-1.3128939156372894,576,114242,30.25,1470,0.07,0.08384368428960443,52120
-1.2875308256260747,578,114509,29.73,1480,0.07,0.08225153526291251,52248
-1.2508513392178124,579,114798,29.26,1490,0.07,0.08322265697643161,52392
-1.2641515971270711,581,115117,29.63,1500,0.07,0.09942266158759594,52552
-1.2689537143426994,583,115445,29.42,1510,0.07,0.09186835493892431,52720
-1.3188060380320263,586,115887,30.89,1520,0.07,0.09734506369568408,52936
-1.3001355595463866,587,116165,30.78,1530,0.07,0.06989130168221891,53080
