rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-3.0221512140098366,995,80.71,1310,0.07,135659,62824,0.05979556360398419
-2.975991570478383,1003,79.89,1320,0.07,136572,63280,0.05952586149214767
-2.9426058203017673,1008,78.72,1330,0.07,137207,63600,0.1295824684202671
-3.0399014595732283,1016,80.87,1340,0.07,138185,64088,0.1403220370411873
-3.2120156214275313,1025,84.91,1350,0.07,139302,64648,0.14848017698386684
-3.3571836909396224,1036,88.63,1360,0.07,140587,65288,0.06695868198585231
-3.493625128151228,1045,92.84,1370,0.07,141684,65840,0.05522582906996831
-3.3435595398437017,1049,89.33,1380,0.07,142096,66040,0.1097039582382422
-3.516033675970939,1059,93.98,1390,0.07,143327,66656,0.056831138441339135
-3.4522680616858215,1066,92.47,1400,0.07,144136,67064,0.09070981742115691
-3.756538586103239,1080,100.38,1410,0.07,145797,67896,0.08733452996239066
-4.07148988246448,1092,106.99,1420,0.07,147371,68680,0.05485751910600811
-4.277973273689291,1102,112.98,1430,0.07,148605,69296,0.07580977363977581
-4.394310505505589,1113,116.99,1440,0.07,149984,69984,0.07565411634277552
-4.403075502849332,1123,117.99,1450,0.07,151201,70600,0.038607598369708285
-4.16644680667599,1128,111.09,1460,0.07,151796,70896,0.08348110076622106
-4.23329138299134,1136,110.71,1470,0.07,152855,71424,0.047825344488956034
-4.521883627665538,1145,118.0,1480,0.07,153996,71992,0.05536909546935931
-4.398561019234135,1152,113.42,1490,0.07,154769,72384,0.11639573751017451
-4.45398410848737,1158,114.34,1500,0.07,155670,72832,0.04543839526013471
-4.196978127663117,1165,106.4,1510,0.07,156537,73264,0.03665921992796939
-4.177396720339463,1179,107.71,1520,0.07,158242,74120,0.047122699877945706
-4.204033044292334,1189,108.36,1530,0.07,159541,74768,0.04784353732247837
-4.018640793280908,1196,102.42,1540,0.07,160326,75160,0.022217591322259977
-4.034379128351687,1206,103.31,1550,0.07,161632,75808,0.12248723732773215
-4.18337120578931,1215,107.64,1560,0.07,162660,76328,0.08097535910201259
-4.088925719356141,1222,106.74,1570,0.07,163629,76808,0.030546891066478565
-3.8331791992497646,1226,100.61,1580,0.07,164157,77072,0.08803404957870953
-3.703581809244744,1230,97.53,1590,0.07,164622,77304,0.03354791199672036
-3.7463015517509444,1239,99.77,1600,0.07,165747,77872,0.08736691996455193
-3.6440953515272088,1244,97.39,1610,0.07,166376,78184,0.08079474663827568
-3.4479775336422964,1254,93.29,1620,0.07,167671,78832,0.03925925664952956
-3.2245585740685776,1260,87.41,1630,0.07,168382,79184,0.025419734185561538
-3.2761618352627537,1268,89.98,1640,0.07,169424,79704,0.07222162059042603
-3.2000283103638925,1278,88.2,1650,0.07,170552,80272,0.0863418533699587
-3.027742003766653,1282,83.27,1660,0.07,171087,80536,0.08514725073473528
