time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
650,-11.6207097787907,1312,173481,237.35,0.07,81736,0.05186538451380329
660,-12.02548104543617,1333,176245,241.23,0.07,83120,0.05046711879549548
670,-12.422317514792965,1353,178939,247.36,0.07,84464,0.04124497342854738
680,-12.247362326333302,1372,181543,244.63,0.07,85768,0.052172575538861565
690,-12.063546582508438,1385,183229,239.91,0.07,86608,0.021778468071715906
700,-12.027472692675923,1403,185612,238.87,0.07,87800,0.07368003895680886
710,-12.398727221632127,1420,187958,244.06,0.07,88976,0.06310752131685149
720,-12.68694686140677,1442,190842,246.8,0.07,90416,0.03788006694230717
730,-13.171536581160389,1463,193680,251.65,0.07,91832,0.02435770779266022
740,-13.70627714632404,1485,196680,258.28,0.07,93336,0.054207922221394256
750,-13.76621114050406,1507,199680,260.99,0.07,94832,0.038560611283173785
