rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.07,81.37,1190,890,118676,2.887900898902769,0.12575129745528102,54336
0.07,84.23,1200,897,119552,2.993363450565305,0.1254556643543765,54768
0.07,82.56,1210,903,120239,2.9144360065859916,0.22199462703429163,55112
0.07,78.97,1220,909,120882,2.767945365735399,0.1413438743329607,55440
0.07,75.66,1230,914,121611,2.674615205372317,0.14412704156711698,55800
0.07,76.89,1240,921,122440,2.726817600569353,0.14240294537739828,56216
0.07,79.33,1250,928,123300,2.823770939955041,0.1589654586277902,56648
0.07,76.67,1260,936,124211,2.738053544318928,0.12816257739905268,57104
0.07,78.96,1270,944,125232,2.801071454314696,0.18813069083262235,57608
0.07,81.51,1280,953,126274,2.923435904093332,0.09513518487801775,58136
0.07,88.26,1290,964,127602,3.1521291965497755,0.27437950909370556,58800
0.07,90.56,1300,973,128708,3.302320482726135,0.1048405459150672,59352
0.07,93.18,1310,980,129657,3.3895699161623223,0.12206579861231148,59824
0.07,97.9,1320,989,130772,3.593135808113274,0.1802705520822201,60384
0.07,99.01,1330,996,131612,3.6455453217189637,0.06749041931470856,60800
0.07,100.83,1340,1004,132623,3.6883695655638995,0.1769363836501725,61304
0.07,102.62,1350,1012,133662,3.782523720473523,0.1620454883086495,61824
0.07,104.98,1360,1021,134809,3.8802590689728054,0.21879307960625738,62400
0.07,101.93,1370,1027,135525,3.7915956046138293,0.09480973921017721,62760
0.07,101.81,1380,1035,136555,3.7837602940331267,0.1829966262448579,63272
0.07,96.9,1390,1042,137392,3.6291540771193667,0.12559847015654668,63688
0.07,99.13,1400,1053,138721,3.6396518587804474,0.15302765520755202,64360
0.07,98.53,1410,1061,139610,3.6505139874329924,0.18766613025218248,64800
0.07,92.93,1420,1065,140165,3.4344823411035588,0.1390973420930095,65080
0.07,94.3,1430,1073,141142,3.4981889904613075,0.14276043471181765,65568
0.07,93.89,1440,1081,142112,3.5251787734010533,0.09343590924981982,66048
0.07,94.12,1450,1090,143174,3.530181169908997,0.09547135484172031,66584
0.07,95.24,1460,1101,144433,3.5763306804775494,0.18334773255628534,67216
0.07,96.6,1470,1108,145285,3.6468719049964005,0.13996901974314824,67640
0.07,101.86,1480,1120,146841,3.8602199983013237,0.24280977714806795,68416
