rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.07,960,611,-7.755751086739018,121361,168.78,0.03339577352744527,55680
0.07,970,619,-7.55360424154932,122860,165.52,0.04382943792734295,56424
0.07,980,629,-7.613537755310476,124681,167.15,0.08456401756848209,57336
0.07,990,640,-7.682238450629918,126833,167.82,0.0745303081930615,58416
0.07,1000,649,-7.711002308132719,128477,168.44,0.04562105282093398,59232
0.07,1010,655,-7.332383814895326,129598,160.21,0.1261917280353373,59792
0.07,1020,661,-7.1812248520084605,130668,156.82,0.1168479616753757,60328
0.07,1030,673,-7.399880782632273,133017,160.73,0.06532626878470182,61504
0.07,1040,687,-8.179733863802149,135553,176.69,0.0667648522357922,62776
0.07,1050,699,-8.440862417718865,137856,182.74,0.0444163444917649,63920
0.07,1060,708,-8.386659423208874,139673,182.12,0.05553301650797948,64832
0.07,1070,716,-8.300033496866947,141034,180.74,0.07605183083796874,65512
0.07,1080,722,-8.000393237669496,142193,174.12,0.05677313153864816,66096
0.07,1090,734,-7.997466676182277,144421,174.88,0.08944347035139799,67208
0.07,1100,745,-8.158408925623617,146537,179.6,0.04381806125456933,68264
0.07,1110,755,-8.465598241164422,148319,186.21,0.04554481088416651,69152
0.07,1120,767,-9.057980078272818,150589,198.21,0.05414085689699277,70288
0.07,1130,778,-8.922584363078725,152668,195.51,0.046009458194021136,71328
0.07,1140,785,-8.367745574163356,154053,184.0,0.05639147986948956,72024
0.07,1150,797,-8.405577289860856,156380,184.24,0.10920842082123272,73184
0.07,1160,812,-8.787642539221167,159094,193.21,0.07918001762300264,74544
0.07,1170,825,-9.222348409652437,161484,203.5,0.07876270000997465,75736
0.07,1180,839,-9.930194102813394,164247,219.54,0.08743624096678104,77120
0.07,1190,854,-10.104806482962982,167009,224.88,0.045268598943948746,78504
0.07,1200,867,-10.309801210996959,169478,228.41,0.0896217060071649,79736
0.07,1210,881,-10.643441983370654,172059,236.4,0.013677722250577062,81024
0.07,1220,892,-10.522466133036371,174198,235.09,0.0338731223528157,82096
0.07,1230,907,-10.84982835586403,176946,241.78,0.04741998285317095,83472
0.07,1240,919,-11.254099998605291,179258,251.05,0.06712857351521961,84624
0.07,1250,933,-11.332971188280805,181928,254.48,0.0675040254718624,85960
0.07,1260,948,-11.340950164208706,184719,255.25,0.03538338619546266,87352
0.07,1270,961,-11.424476915304345,187234,256.5,0.057953788003942464,88616
0.07,1280,977,-11.443716052852503,190231,258.84,0.04647657510940917,90112
0.07,1290,991,-11.369910441581963,192872,257.63,0.08089984510297654,91432
0.07,1300,1007,-11.492781587737989,195857,262.79,0.0356007359441719,92928
0.07,1310,1022,-11.493439465560305,198669,265.1,0.05849640145606827,94328
