rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,66336,580,448,116.98,-4.815459069131433,28160,0.05497647530864924
0.07,67130,590,454,113.75,-4.672092866567532,28560,0.08406078768894076
0.07,68601,600,465,119.43,-4.882058691430644,29296,0.07940995169337839
0.07,70178,610,477,122.63,-5.007349286005787,30088,0.050459456513635814
0.07,71590,620,488,126.36,-5.186225968874462,30792,0.04742893690126948
0.07,72613,630,495,125.71,-5.1034145020975785,31304,0.07297112990636379
0.07,74848,640,512,135.09,-5.3568283038339075,32416,0.06000332155963406
0.07,76500,650,524,139.16,-5.450640636051998,33248,0.11348846898181364
0.07,78759,660,541,148.51,-5.828814574544697,34376,0.05052293877815828
0.07,80215,670,552,146.89,-5.791990717323816,35104,0.08430842938832939
0.07,81870,680,564,154.34,-6.045472937335677,35928,0.022461470682173967
0.07,83371,690,575,161.41,-6.2787289974676135,36680,0.05678367443033494
0.07,84637,700,585,159.36,-6.148112533313655,37312,0.051623235165607184
0.07,85786,710,594,155.08,-5.973742909723178,37888,0.06820029218215495
0.07,87440,720,607,157.5,-5.959876298085159,38712,0.03509583484265022
0.07,88755,730,618,160.42,-6.078965971330947,39376,0.07900326873641461
0.07,90175,740,629,152.27,-5.8341756637938635,40080,0.07652888132724911
0.07,91718,750,642,151.18,-5.862538809897988,40856,0.06600505186361261
0.07,93516,760,657,146.57,-5.65131867160233,41752,0.06876825337531045
0.07,95069,770,669,147.54,-5.673149816099895,42528,0.07340508000925183
0.07,96516,780,681,145.46,-5.655796945115732,43256,0.04388689459301531
0.07,98032,790,694,145.61,-5.7383398614229835,44008,0.07241604561568238
0.07,99393,800,705,146.56,-5.793660319150996,44696,0.09777567826677114
0.07,100323,810,712,144.37,-5.680030185666684,45160,0.057790643360931426
0.07,101306,820,720,137.66,-5.409899715167979,45648,0.07181439019041136
0.07,102747,830,731,138.92,-5.430861970754935,46368,0.07779147682595067
0.07,103913,840,741,136.38,-5.413805772041473,46952,0.06909029476810247
0.07,105169,850,751,133.51,-5.28451957990833,47584,0.014144954300718382
0.07,106747,860,764,131.31,-5.150906548069482,48368,0.05258192913606763
0.07,108314,870,777,131.45,-5.159371971602777,49152,0.03353378304746002
0.07,110064,880,791,134.48,-5.248979258828971,50024,0.08071062903036363
0.07,111775,890,806,136.43,-5.283395147735658,50880,0.01651199848856777
0.07,113402,900,819,139.09,-5.415865673835506,51696,0.06275806020130403
0.07,115403,910,835,149.8,-5.819247446512296,52696,0.025187843188177794
0.07,117695,920,854,162.89,-6.504791771861862,53840,0.06922910059802234
0.07,119604,930,870,167.57,-6.696132860082398,54800,0.058057937887497246
0.07,121706,940,887,176.93,-7.238414295708331,55848,0.07940771855646744
0.07,123563,950,902,182.94,-7.539581877226026,56776,0.0853855119785294
0.07,126342,960,925,194.95,-8.325305181574755,58168,0.05937587434891611
0.07,128424,970,942,200.1,-8.60160660312897,59208,0.05005246330983937
0.07,129874,980,953,197.1,-8.505022103832344,59936,0.03449435546644963
0.07,131769,990,968,198.94,-8.698682748176982,60880,0.033004520199028775
0.07,134277,1000,987,207.75,-9.091313534568307,62136,0.0672853194118943
0.07,135598,1010,996,200.95,-8.865737386639106,62792,0.049744664633180946
0.07,137410,1020,1010,196.15,-8.543822460463621,63704,0.031058502529049292
0.07,139557,1030,1027,198.53,-8.616431452375236,64776,0.030851153715047985
0.07,141311,1040,1040,195.05,-8.339330975647652,65648,0.0689060898439493
0.07,143123,1050,1054,194.6,-8.260777768466177,66560,0.05721010858542286
0.07,145157,1060,1069,187.15,-7.733238641704485,67576,0.05012446618638933
0.07,146971,1070,1083,184.47,-7.574820466383691,68480,0.03266275144414976
0.07,148952,1080,1098,189.78,-7.785926694992883,69472,0.06175365051603876
0.07,150457,1090,1109,185.88,-7.518741365468596,70224,0.04059379227692261
0.07,151516,1100,1117,171.39,-6.903875035070565,70752,0.06069540255703032
0.07,152633,1110,1126,169.35,-6.85981586200672,71312,0.060551868489710614
0.07,153485,1120,1132,159.75,-6.453909433215874,71736,0.06618915798026137
0.07,154916,1130,1144,152.59,-6.107165957584869,72456,0.032368042098823935
0.07,156098,1140,1153,146.87,-5.809624233350807,73048,0.04902634400059469
0.07,157351,1150,1163,141.28,-5.602802346674297,73672,0.012139445563661866
0.07,158407,1160,1171,131.5,-5.198130438723934,74200,0.040204751276178285
0.07,159224,1170,1178,121.53,-4.77006815712151,74608,0.04168636543909088
0.07,160187,1180,1185,111.35,-4.323555832961188,75088,0.06137170660076663
0.07,161578,1190,1197,110.21,-4.198825447170385,75784,0.08796586323296651
0.07,162473,1200,1203,108.57,-4.103160766815897,76232,0.0514564971672371
0.07,163509,1210,1211,107.76,-3.996932108661933,76752,0.08008416419033892
0.07,164634,1220,1219,110.49,-4.074952813413088,77312,0.06846661365125328
0.07,165770,1230,1228,107.54,-4.0776986138248335,77880,0.05020295805297792
0.07,167066,1240,1238,108.68,-4.083312351816685,78528,0.07569285764475353
0.07,168270,1250,1247,108.19,-4.078588435183347,79128,0.059521133662201464
